model,signal,top_k,label,layer,n_mentions,mean,q25,median,q75
qwen2_5_vl_7b,ae,32,HALL,2,916,0.6338722907559841,0.5764256417751312,0.637499213218689,0.6932680904865265
qwen2_5_vl_7b,ae,32,HALL,3,916,0.5132192184571095,0.4658464714884758,0.5087142884731293,0.5562197417020798
qwen2_5_vl_7b,ae,32,HALL,4,916,0.5110362249235398,0.45669835805892944,0.5060904026031494,0.5594488978385925
qwen2_5_vl_7b,ae,32,HALL,5,916,0.4686148728540891,0.4091525003314018,0.4559994339942932,0.5131134986877441
qwen2_5_vl_7b,ae,32,HALL,6,916,0.424323257872241,0.3464989587664604,0.4024287164211273,0.477383628487587
qwen2_5_vl_7b,ae,32,HALL,7,916,0.42443417351058477,0.36837491393089294,0.4144323319196701,0.47285160422325134
qwen2_5_vl_7b,ae,32,HALL,8,916,0.3769541925315513,0.32264896482229233,0.3637642562389374,0.4175051525235176
qwen2_5_vl_7b,ae,32,HALL,9,916,0.4849180262129119,0.3930644541978836,0.4695976823568344,0.5623014867305756
qwen2_5_vl_7b,ae,32,HALL,10,916,0.5120871019545601,0.4328950196504593,0.5038607716560364,0.5773646980524063
qwen2_5_vl_7b,ae,32,HALL,11,916,0.425033130402388,0.36545509099960327,0.41489584743976593,0.4699803963303566
qwen2_5_vl_7b,ae,32,HALL,12,916,0.5372924116891544,0.4424661248922348,0.5310932099819183,0.6247943043708801
qwen2_5_vl_7b,ae,32,HALL,13,916,0.5366304453673841,0.44867826998233795,0.5367860198020935,0.6158780455589294
qwen2_5_vl_7b,ae,32,HALL,14,916,0.5185379455248341,0.4360159710049629,0.5062828361988068,0.5929017215967178
qwen2_5_vl_7b,ae,32,HALL,15,916,0.6649093490305426,0.574841633439064,0.664543092250824,0.763310045003891
qwen2_5_vl_7b,ae,32,HALL,16,916,0.603159260313844,0.5117964744567871,0.5998436510562897,0.7015914767980576
qwen2_5_vl_7b,ae,32,HALL,17,916,0.7427342115986816,0.6723805367946625,0.7537251114845276,0.8174737691879272
qwen2_5_vl_7b,ae,32,HALL,18,916,0.6205264867067858,0.5383182168006897,0.6192432343959808,0.6961520165205002
qwen2_5_vl_7b,ae,32,HALL,19,916,0.6635953800907302,0.5818012207746506,0.6718737781047821,0.7471864074468613
qwen2_5_vl_7b,ae,32,HALL,20,916,0.7703109692993643,0.7090387344360352,0.7829718589782715,0.8416684567928314
qwen2_5_vl_7b,ae,32,HALL,21,916,0.7199194529236144,0.6547465771436691,0.7257662117481232,0.7883338779211044
qwen2_5_vl_7b,ae,32,HALL,22,916,0.7356407645292677,0.667420893907547,0.7411240339279175,0.8077922910451889
qwen2_5_vl_7b,ae,32,HALL,23,916,0.7581517409094036,0.6953511983156204,0.7639119029045105,0.8299329876899719
qwen2_5_vl_7b,ae,32,HALL,24,916,0.7243253281868701,0.6572718024253845,0.7254064977169037,0.8010944277048111
qwen2_5_vl_7b,ae,32,HALL,25,916,0.741336532685434,0.6744415163993835,0.7451313138008118,0.8164629489183426
qwen2_5_vl_7b,ae,32,HALL,26,916,0.7346028413249416,0.6682009100914001,0.7381922900676727,0.8102469444274902
