feature_set,variant,seed,threshold_rule,threshold,auroc,real_aupr,real_precision,real_recall,real_f1,hall_aupr,hall_precision,hall_recall,hall_f1
F,AE32,43,fixed_0.5,0.5,0.8682381733121135,0.9716634862415992,0.8883720930232558,0.951195219123506,0.9187109187109187,0.5408723638983967,0.5757575757575758,0.35656836461126007,0.44039735099337746
F,AE32,43,train_f1,0.5781949758529663,0.8682381733121135,0.9716634862415992,0.9071914480077745,0.9297808764940239,0.9183472700442695,0.5408723638983967,0.5634674922600619,0.4879356568364611,0.5229885057471264
F,AE32,44,fixed_0.5,0.5,0.8652774959144653,0.9704031593663667,0.8798011748757343,0.9696215139442231,0.9225302061122956,0.548975440834335,0.6369047619047619,0.2868632707774799,0.3955637707948244
F,AE32,44,train_f1,0.5327684283256531,0.8652774959144653,0.9704031593663667,0.8877691250572607,0.9651394422310757,0.9248389405869721,0.548975440834335,0.6464646464646465,0.34316353887399464,0.44833625218914186
F,AE32,45,fixed_0.5,0.5,0.8670705916281256,0.9714462791898938,0.9015369836695485,0.9347609561752988,0.9178484107579462,0.5443068894310222,0.5618729096989966,0.450402144772118,0.5
F,AE32,45,train_f1,0.5000705122947693,0.8670705916281256,0.9714462791898938,0.9014896684286401,0.9342629482071713,0.917583761310834,0.5443068894310222,0.56,0.450402144772118,0.49925705794947994
C_JS,AE32_cosine,43,fixed_0.5,0.5,0.8597853892740032,0.9698966217368469,0.8925541941564562,0.9432270916334662,0.9171912832929782,0.5000861679616412,0.5598455598455598,0.38873994638069703,0.4588607594936709
C_JS,AE32_cosine,43,train_f1,0.5215867161750793,0.8597853892740032,0.9698966217368469,0.8973747016706444,0.9362549800796812,0.9164026322203266,0.5000861679616412,0.5524475524475524,0.42359249329758714,0.4795144157814871
C_JS,AE32_cosine,44,fixed_0.5,0.5,0.8474713745553977,0.9668959134123586,0.8744920993227991,0.9646414342629482,0.917357328913095,0.48662465594331406,0.572289156626506,0.2546916890080429,0.3525046382189239
C_JS,AE32_cosine,44,train_f1,0.5974639654159546,0.8474713745553977,0.9668959134123586,0.8934854969091773,0.9357569721115537,0.9141328144003892,0.48662465594331406,0.5359712230215827,0.39946380697050937,0.4577572964669739
C_JS,AE32_cosine,45,fixed_0.5,0.5,0.8394471711011183,0.9645489451193512,0.8778383287920073,0.9626494023904383,0.918289786223278,0.4808730021041646,0.5810055865921788,0.27882037533512066,0.37681159420289856
C_JS,AE32_cosine,45,train_f1,0.6600239872932434,0.8394471711011183,0.9645489451193512,0.899662325132658,0.9287848605577689,0.9139916687086499,0.4808730021041646,0.5357142857142857,0.44235924932975873,0.4845814977973568
C_JS,AE32,43,fixed_0.5,0.5,0.8534341187528705,0.9677164251189773,0.8935771214252227,0.9492031872509961,0.9205505916445303,0.5049815373045049,0.5887096774193549,0.3914209115281501,0.47020933977455714
