model,metric,label,layer,n_mentions,mean,q25,median,q75
internvl_2_5_8b,s_write,REAL,3,9993,0.18448812378327464,0.1099644695796087,0.15678672389913118,0.22075800357379194
internvl_2_5_8b,s_write,REAL,4,9993,0.4292691152985013,0.2624085844581714,0.3785441528125375,0.5413474099659652
internvl_2_5_8b,s_write,REAL,5,9993,1.4346870896867951,0.751066168097168,1.213093908954761,1.9398017414205242
internvl_2_5_8b,s_write,REAL,6,9993,3.4488775801980607,1.6712656331947073,2.7927019608323462,5.114910417469218
internvl_2_5_8b,s_write,REAL,7,9993,3.5023013078395375,1.741263663949212,2.965982853900641,4.819256004469935
internvl_2_5_8b,s_write,REAL,8,9993,6.436239064224574,4.313460508099524,6.4882511589094065,8.288964985869825
internvl_2_5_8b,s_write,REAL,9,9993,3.6877263191928957,2.317291140265297,3.317913677485194,4.945601224084385
internvl_2_5_8b,s_write,REAL,10,9993,11.066117947762962,8.286267281480832,11.25107495195698,13.586839113209862
internvl_2_5_8b,s_write,REAL,11,9993,6.778732129631307,4.800194922660012,6.776481922133826,8.712745463766623
internvl_2_5_8b,s_write,REAL,12,9993,10.729186255500476,8.094082849682309,10.774417239998002,13.263518909632694
internvl_2_5_8b,s_write,REAL,13,9993,15.509377648726481,12.184248816454783,15.325891310349107,18.78043967485428
internvl_2_5_8b,s_write,REAL,14,9993,7.064804224659341,4.925064186740201,6.927177412551828,9.151962899137288
internvl_2_5_8b,s_write,REAL,15,9993,11.4948941425682,9.151510517694987,11.85489622456953,14.206867800327018
internvl_2_5_8b,s_write,REAL,16,9993,26.03331863217642,21.209161825012416,27.130910602514632,31.703165660146624
internvl_2_5_8b,s_write,REAL,17,9993,18.1769072759881,14.867361050914042,18.706813937285915,22.09206475567771
internvl_2_5_8b,s_write,REAL,18,9993,14.131854552920467,10.806209079397377,15.012845015502535,17.831951604632195
internvl_2_5_8b,s_write,REAL,19,9993,23.756344299630406,17.347507795668207,25.279937842366053,30.104278003796935
internvl_2_5_8b,s_write,REAL,20,9993,33.86942272381097,25.956291671805957,35.39489174366463,42.56560125981923
internvl_2_5_8b,s_write,REAL,21,9993,26.311110836553144,19.021792336308863,26.89316508884076,33.34166887868196
internvl_2_5_8b,s_write,REAL,22,9993,20.697350114103262,12.85389654028404,20.90856962482212,27.54669457260752
internvl_2_5_8b,s_write,REAL,23,9993,11.09773654789504,7.098115613334812,10.675190953304991,14.594931202125736
internvl_2_5_8b,s_write,REAL,24,9993,8.62264695132255,4.655555617908249,7.384071736203623,11.352833711949643
internvl_2_5_8b,s_write,REAL,25,9993,27.723365851769923,17.027008345612558,27.904756372474367,37.36547422144213
internvl_2_5_8b,s_write,REAL,26,9993,24.17150352945546,14.423322362432373,24.56345250614686,33.37343071424766
internvl_2_5_8b,s_write,REAL,27,9993,16.30530606776296,8.986850811957993,14.91055661815335,22.6998841745517
internvl_2_5_8b,s_write,REAL,28,9993,8.75424237173901,4.911238998378394,7.866486396553228,11.894837940228172
internvl_2_5_8b,s_write,REAL,29,9993,29.430741672761663,16.60110116287251,27.703366512141656,40.28177343928837
internvl_2_5_8b,s_write,REAL,30,9993,46.75681474798705,31.04320153669687,45.440277858724585,61.18560560487094
internvl_2_5_8b,s_write,REAL,31,9993,35.59315118152563,22.56671526748687,33.729442406853195,46.686432667425834
internvl_2_5_8b,s_write,REAL,32,9993,28.081045602729496,18.173237565439194,26.12876043311553,35.86605537845753
internvl_2_5_8b,s_write,HALL,1,1766,0.27009951939394283,0.1809566795691353,0.24522215971592232,0.3366447689913912
internvl_2_5_8b,s_write,HALL,2,1766,0.3388397723586676,0.2553289980610316,0.32451019125801395,0.4004092195054909
internvl_2_5_8b,s_write,HALL,3,1766,0.13074909015947683,0.08183076187197003,0.11319334631866695,0.1604165522032872
internvl_2_5_8b,s_write,HALL,4,1766,0.29089154516950444,0.18603314197707732,0.25340497873185086,0.34975253075208457
internvl_2_5_8b,s_write,HALL,5,1766,0.9372434004368143,0.5242559196722141,0.7695580733070528,1.1530971066658822
internvl_2_5_8b,s_write,HALL,6,1766,1.9169418380949448,1.0439002260391135,1.5586781970123411,2.3779455146959663
internvl_2_5_8b,s_write,HALL,7,1766,2.085796625902424,1.1285209532252338,1.621246960690769,2.4636153022293
internvl_2_5_8b,s_write,HALL,8,1766,4.5320956481060914,2.612735064016306,4.169671883442788,5.891605458964477
internvl_2_5_8b,s_write,HALL,9,1766,2.4469545340166494,1.7093870648750453,2.1737396771786734,2.9117125717020826
internvl_2_5_8b,s_write,HALL,10,1766,8.422655744867678,5.312335232592886,7.977636928524589,11.124086005467689
internvl_2_5_8b,s_write,HALL,11,1766,5.0390298423581426,2.9658168672249303,4.716418741983944,6.715114150661975
internvl_2_5_8b,s_write,HALL,12,1766,7.813916087779542,4.813281501126767,7.464101159464917,10.44646246463526
internvl_2_5_8b,s_write,HALL,13,1766,12.54152537617344,8.108670373760106,12.49213151440199,16.496962216187967
internvl_2_5_8b,s_write,HALL,14,1766,5.042848119367361,3.0394721932098037,4.748443385877181,6.679923809046159
internvl_2_5_8b,s_write,HALL,15,1766,8.931963872944095,5.742575072799809,8.97162890812615,11.914173671684694
internvl_2_5_8b,s_write,HALL,16,1766,21.035843326108218,13.684305821516318,21.403755763923982,27.9926066261105
internvl_2_5_8b,s_write,HALL,17,1766,14.540970268985875,9.40684881449124,14.688920676417183,19.253550318615453
