method,label,layer,metric,count,mean,std,q10,median,q90
JFFN,REAL,22,top1_mass,5,0.10733967870473862,0.08474055561697634,0.047613228857517245,0.06412454694509506,0.20432561337947847
JFFN,REAL,22,top32_mass,5,0.5847544431686401,0.10896275841918375,0.5172840356826782,0.5348585844039917,0.7002434492111206
JFFN,REAL,23,normalized_entropy,5,0.7333234906196594,0.08082898450353761,0.6451316118240357,0.7599582076072693,0.7929563641548156
JFFN,REAL,23,top1_mass,5,0.10527614429593087,0.0982047017750119,0.0328995481133461,0.07403407245874405,0.21329272985458375
JFFN,REAL,23,top32_mass,5,0.5788276672363282,0.11581765403432884,0.48159209489822385,0.5487670302391052,0.7045744299888611
JFFN,REAL,24,normalized_entropy,5,0.7404077529907227,0.07367298590768777,0.6621502995491028,0.7665267586708069,0.788767147064209
JFFN,REAL,24,top1_mass,5,0.12831371799111366,0.09982687784409873,0.05495363101363182,0.08612862229347229,0.24012927114963534
JFFN,REAL,24,top32_mass,5,0.5861930131912232,0.0967476455888427,0.5084718704223633,0.5629070401191711,0.6938120126724243
JFFN,REAL,25,normalized_entropy,5,0.756147587299347,0.09848861488502904,0.6419307231903076,0.8062331676483154,0.8296775579452514
JFFN,REAL,25,top1_mass,5,0.0912262849509716,0.0823362775610399,0.03488970845937729,0.06077556312084198,0.18046008646488193
JFFN,REAL,25,top32_mass,5,0.541802167892456,0.1562504863268342,0.40889258980751036,0.4578164219856262,0.732125723361969
JFFN,REAL,26,normalized_entropy,5,0.7255927383899688,0.13860803016126216,0.5752553522586823,0.7635886073112488,0.8319109082221985
JFFN,REAL,26,top1_mass,5,0.1098274864256382,0.09662176528193307,0.04200452864170075,0.055522460490465164,0.2217350095510483
JFFN,REAL,26,top32_mass,5,0.5964834272861481,0.15742762383251055,0.4595864832401276,0.5768028497695923,0.766592800617218
JFFN,REAL,27,normalized_entropy,5,0.7747069120407104,0.08676396814563847,0.6853084444999695,0.8144936561584473,0.8240411520004273
JFFN,REAL,27,top1_mass,5,0.07091878354549408,0.05006065922672281,0.03606266528367996,0.04221879690885544,0.12940583229064942
JFFN,REAL,27,top32_mass,5,0.5504004299640656,0.1353496478057207,0.4735711276531219,0.4844309687614441,0.6922019243240357
JFFN,REAL,28,normalized_entropy,5,0.7962749004364014,0.05121524119245687,0.7402223587036133,0.8000505566596985,0.8477751612663269
JFFN,REAL,28,top1_mass,5,0.08969647660851479,0.032698135355325446,0.0570041723549366,0.07704176008701324,0.12939470410346984
JFFN,REAL,28,top32_mass,5,0.535675722360611,0.09392213140708129,0.4304738938808441,0.560249924659729,0.6352023959159852
JFFN,REAL,29,normalized_entropy,5,0.6825435042381287,0.126203253500127,0.5279321908950806,0.7240239381790161,0.8086142778396607
JFFN,REAL,29,top1_mass,5,0.12423278093338012,0.060502148811096834,0.05339797362685204,0.13640926778316498,0.18980954587459564
JFFN,REAL,29,top32_mass,5,0.6756229400634766,0.16148228503862086,0.5130359411239624,0.6272025108337402,0.8729379892349243
JFFN,REAL,3,normalized_entropy,5,0.6475904107093811,0.031255841703357774,0.6186644792556762,0.6379821300506592,0.682857358455658
JFFN,REAL,3,top1_mass,5,0.22027662992477418,0.024065527640225723,0.19128684997558593,0.2285034954547882,0.24364494383335114
