model,scope,metric,label,layer,n_total,n_valid,n_undefined,mean,q25,median,q75
qwen2_5_vl_7b,all,amp_median,HALL,6,122,122,0,0.6163026235444952,0.5580955351289744,0.6287559160488951,0.6747429341722913
qwen2_5_vl_7b,all,amp_median,HALL,7,122,122,0,0.7224045507441402,0.6691378604969681,0.710727516417308,0.7448174883946446
qwen2_5_vl_7b,all,amp_median,HALL,8,122,122,0,0.8250201853276289,0.761790728921157,0.809987524003893,0.8560203759020928
qwen2_5_vl_7b,all,amp_median,HALL,9,122,122,0,0.7222629673338513,0.670136740552515,0.7149226646362375,0.7711652998174826
qwen2_5_vl_7b,all,amp_median,HALL,10,122,122,0,0.8551461886760745,0.7946745713761346,0.845593687450917,0.896532115858832
qwen2_5_vl_7b,all,amp_median,HALL,11,122,122,0,0.6318842759160037,0.5983095628413253,0.6264602322049782,0.6597841876947963
qwen2_5_vl_7b,all,amp_median,HALL,12,122,122,0,0.6669412715692189,0.6400486788967625,0.6610006548017253,0.6975696778119854
qwen2_5_vl_7b,all,amp_median,HALL,13,122,122,0,0.6871900593887366,0.6587348193985296,0.6864289041229694,0.7119640993176366
qwen2_5_vl_7b,all,amp_median,HALL,14,122,122,0,0.6798856605619699,0.6543250849645532,0.6765576825261257,0.7041179183451287
qwen2_5_vl_7b,all,amp_median,HALL,15,122,122,0,0.6196318038160673,0.5905698681328589,0.6170894032706207,0.6392398184554516
qwen2_5_vl_7b,all,amp_median,HALL,16,122,122,0,0.593740195220105,0.5655699480938243,0.5882569028647473,0.6146008444452118
qwen2_5_vl_7b,all,amp_median,HALL,17,122,122,0,0.5926186314847944,0.5629592635165535,0.5905576470391913,0.6135049066299247
qwen2_5_vl_7b,all,amp_median,HALL,18,122,122,0,0.5706091887242624,0.5439194347363129,0.5645936477881254,0.5960825834152016
qwen2_5_vl_7b,all,amp_median,HALL,19,122,122,0,0.5961654415969124,0.5617878747379876,0.5867470625247491,0.6208285126995361
qwen2_5_vl_7b,all,amp_median,HALL,20,122,122,0,0.5114062396514607,0.48725446942491685,0.5103733166006572,0.5330691110374768
qwen2_5_vl_7b,all,amp_median,HALL,21,122,122,0,0.561545492314587,0.5318590668315121,0.5612882574089761,0.5806924084390014
qwen2_5_vl_7b,all,amp_median,HALL,22,122,122,0,0.5230734898157363,0.49944273587134913,0.5179553801742571,0.545777918197885
qwen2_5_vl_7b,all,amp_median,HALL,23,122,122,0,0.5146576627440693,0.4843768547505935,0.510021708091037,0.5327313724069542
qwen2_5_vl_7b,all,amp_median,HALL,24,122,122,0,0.48415678935138823,0.4339337571980981,0.47217698930031016,0.519565738505804
qwen2_5_vl_7b,all,amp_median,HALL,25,122,122,0,0.43189467836953366,0.4043533929001555,0.42528776011796593,0.4493752942043971
qwen2_5_vl_7b,all,amp_median,HALL,26,122,122,0,0.3897833710938614,0.3568374635598643,0.3801936398057758,0.4140132832479052
qwen2_5_vl_7b,all,amp_median,HALL,27,122,122,0,0.4334838835869907,0.40388371858232536,0.4251619412368252,0.45451523569722546
qwen2_5_vl_7b,all,amp_median,HALL,28,122,122,0,0.7132836058381494,0.6041479266999066,0.6421399625263714,0.7422485460570135
qwen2_5_vl_7b,all,amp_fraction_gt1,REAL,1,1006,1006,0,0.5928614103492126,0.25895140664961636,0.7173913043478262,0.9186700767263427
qwen2_5_vl_7b,all,amp_fraction_gt1,REAL,2,1006,1006,0,0.02853270989958277,0.0,0.0,0.02557544757033248
qwen2_5_vl_7b,all,amp_fraction_gt1,REAL,3,1006,1006,0,0.0037922085136669046,0.0,0.0,0.0
qwen2_5_vl_7b,all,amp_fraction_gt1,REAL,4,1006,1006,0,0.0033444391117147016,0.0,0.0,0.0025575447570332483
qwen2_5_vl_7b,all,amp_fraction_gt1,REAL,5,1006,1006,0,0.01358912146999264,0.0,0.0,0.014492753623188406
qwen2_5_vl_7b,all,amp_fraction_gt1,REAL,6,1006,1006,0,0.01627312051217951,0.0,0.0,0.010230179028132993
qwen2_5_vl_7b,all,amp_fraction_gt1,REAL,7,1006,1006,0,0.014976986437632595,0.0,0.0,0.0
qwen2_5_vl_7b,all,amp_fraction_gt1,REAL,8,1006,1006,0,0.06817163525046253,0.0,0.0,0.02269820971867008
qwen2_5_vl_7b,all,amp_fraction_gt1,REAL,9,1006,1006,0,0.02798651921500802,0.0,0.0,0.00454059829059829
qwen2_5_vl_7b,all,amp_fraction_gt1,REAL,10,1006,1006,0,0.19248331714242706,0.030399906998372472,0.12276214833759591,0.2826086956521739
