model,scope,metric,label,layer,total,valid,undefined,mean,q25,median,q75
qwen2_5_vl_7b,train,ovir,HALL,28,733,733,0,0.9224069273677854,0.8855553062288699,0.9610121719108922,0.9776783461628843
qwen2_5_vl_7b,train,rank95,REAL,1,6252,6252,0,4.0663787587971845,3.0,4.0,5.0
qwen2_5_vl_7b,train,rank95,REAL,2,6252,6252,0,3.442258477287268,2.0,3.0,4.0
qwen2_5_vl_7b,train,rank95,REAL,3,6252,6252,0,22.415387076135637,17.0,22.0,28.0
qwen2_5_vl_7b,train,rank95,REAL,4,6252,6252,0,21.292066538707612,15.0,21.0,28.0
qwen2_5_vl_7b,train,rank95,REAL,5,6252,6252,0,21.286788227767115,14.0,21.0,28.0
qwen2_5_vl_7b,train,rank95,REAL,6,6252,6252,0,22.94689699296225,13.0,23.0,32.0
qwen2_5_vl_7b,train,rank95,REAL,7,6252,6252,0,20.603007037747922,14.0,19.0,26.0
qwen2_5_vl_7b,train,rank95,REAL,8,6252,6252,0,34.5436660268714,26.0,35.0,44.0
qwen2_5_vl_7b,train,rank95,REAL,9,6252,6252,0,24.863883557261676,14.0,23.0,34.0
qwen2_5_vl_7b,train,rank95,REAL,10,6252,6252,0,28.413467690339093,18.0,28.0,38.0
qwen2_5_vl_7b,train,rank95,REAL,11,6252,6252,0,32.615003198976325,26.0,32.0,39.0
qwen2_5_vl_7b,train,rank95,REAL,12,6252,6252,0,24.78214971209213,15.0,22.0,32.0
qwen2_5_vl_7b,train,rank95,REAL,13,6252,6252,0,28.808541266794627,17.0,27.0,39.0
qwen2_5_vl_7b,train,rank95,REAL,14,6252,6252,0,41.911228406909785,29.75,42.0,54.0
qwen2_5_vl_7b,train,rank95,REAL,15,6252,6252,0,25.839251439539346,13.0,23.0,37.0
qwen2_5_vl_7b,train,rank95,REAL,16,6252,6252,0,29.26023672424824,15.0,27.0,41.0
qwen2_5_vl_7b,train,rank95,REAL,17,6252,6252,0,20.30566218809981,11.0,19.0,28.0
qwen2_5_vl_7b,train,rank95,REAL,18,6252,6252,0,28.801823416506718,17.0,27.0,39.0
qwen2_5_vl_7b,train,rank95,REAL,19,6252,6252,0,23.889955214331415,13.0,21.0,33.0
qwen2_5_vl_7b,train,rank95,REAL,20,6252,6252,0,18.714331413947537,10.0,17.0,25.0
qwen2_5_vl_7b,train,rank95,REAL,21,6252,6252,0,18.06605886116443,10.0,16.0,24.0
qwen2_5_vl_7b,train,rank95,REAL,22,6252,6252,0,20.379078694817657,12.0,19.0,28.0
qwen2_5_vl_7b,train,rank95,REAL,23,6252,6252,0,17.53646833013436,10.0,16.0,23.0
qwen2_5_vl_7b,train,rank95,REAL,24,6252,6252,0,19.088611644273833,11.0,18.0,25.0
qwen2_5_vl_7b,train,rank95,REAL,25,6252,6252,0,15.173704414587332,8.0,13.0,20.0
qwen2_5_vl_7b,train,rank95,REAL,26,6252,6252,0,18.20361484325016,11.0,17.0,24.0
qwen2_5_vl_7b,train,rank95,REAL,27,6252,6252,0,22.416346769033908,14.0,21.0,29.0
qwen2_5_vl_7b,train,rank95,REAL,28,6252,6252,0,25.62795905310301,17.0,24.0,33.0
qwen2_5_vl_7b,train,rank95,HALL,1,733,733,0,3.9236016371077764,3.0,4.0,4.0
qwen2_5_vl_7b,train,rank95,HALL,2,733,733,0,2.796725784447476,2.0,2.0,3.0
qwen2_5_vl_7b,train,rank95,HALL,3,733,733,0,22.73942701227831,17.0,23.0,28.0
qwen2_5_vl_7b,train,rank95,HALL,4,733,733,0,24.86493860845839,18.0,26.0,32.0
qwen2_5_vl_7b,train,rank95,HALL,5,733,733,0,22.023192360163712,15.0,21.0,29.0
qwen2_5_vl_7b,train,rank95,HALL,6,733,733,0,24.731241473397,15.0,25.0,33.0
qwen2_5_vl_7b,train,rank95,HALL,7,733,733,0,23.480218281036834,17.0,23.0,29.0
qwen2_5_vl_7b,train,rank95,HALL,8,733,733,0,35.69986357435198,26.0,35.0,44.0
qwen2_5_vl_7b,train,rank95,HALL,9,733,733,0,27.32605729877217,14.0,26.0,39.0
qwen2_5_vl_7b,train,rank95,HALL,10,733,733,0,27.30968622100955,17.0,26.0,36.0
qwen2_5_vl_7b,train,rank95,HALL,11,733,733,0,32.24693042291951,25.0,32.0,39.0
qwen2_5_vl_7b,train,rank95,HALL,12,733,733,0,23.387448840381992,12.0,20.0,32.0
qwen2_5_vl_7b,train,rank95,HALL,13,733,733,0,22.95361527967258,11.0,20.0,32.0
qwen2_5_vl_7b,train,rank95,HALL,14,733,733,0,36.15006821282401,23.0,34.0,47.0
qwen2_5_vl_7b,train,rank95,HALL,15,733,733,0,16.939972714870397,8.0,14.0,23.0
qwen2_5_vl_7b,train,rank95,HALL,16,733,733,0,22.236016371077763,10.0,18.0,31.0
qwen2_5_vl_7b,train,rank95,HALL,17,733,733,0,14.015006821282402,7.0,11.0,19.0
qwen2_5_vl_7b,train,rank95,HALL,18,733,733,0,22.508867667121418,11.0,20.0,31.0
qwen2_5_vl_7b,train,rank95,HALL,19,733,733,0,16.136425648021827,7.0,13.0,22.0
qwen2_5_vl_7b,train,rank95,HALL,20,733,733,0,12.487039563437927,6.0,11.0,17.0
qwen2_5_vl_7b,train,rank95,HALL,21,733,733,0,12.0,6.0,10.0,16.0
qwen2_5_vl_7b,train,rank95,HALL,22,733,733,0,12.836289222373805,7.0,11.0,16.0
qwen2_5_vl_7b,train,rank95,HALL,23,733,733,0,12.86493860845839,7.0,11.0,17.0
qwen2_5_vl_7b,train,rank95,HALL,24,733,733,0,14.084583901773533,8.0,12.0,19.0
qwen2_5_vl_7b,train,rank95,HALL,25,733,733,0,10.990450204638472,6.0,9.0,15.0
qwen2_5_vl_7b,train,rank95,HALL,26,733,733,0,16.53206002728513,9.0,15.0,22.0
qwen2_5_vl_7b,train,rank95,HALL,27,733,733,0,17.877216916780355,10.0,16.0,24.0
qwen2_5_vl_7b,train,rank95,HALL,28,733,733,0,20.583901773533423,11.0,19.0,28.0
qwen2_5_vl_7b,train,retained_energy,REAL,1,6252,6252,0,0.9591530728996657,0.95425758385694,0.9580947260755242,0.9630831540779482
qwen2_5_vl_7b,train,retained_energy,REAL,2,6252,6252,0,0.9594918975597461,0.9539799150820407,0.9583169019666478,0.9635645224998596
qwen2_5_vl_7b,train,retained_energy,REAL,3,6252,6252,0,0.9520357798780587,0.9506538275561978,0.9512730070002327,0.9519945970586559
qwen2_5_vl_7b,train,retained_energy,REAL,4,6252,6252,0,0.9523791391445614,0.9507524305928821,0.9514923154917225,0.9524167861478962
qwen2_5_vl_7b,train,retained_energy,REAL,5,6252,6252,0,0.9519801744012981,0.9507714218583513,0.9514768856153601,0.9523181538578049
qwen2_5_vl_7b,train,retained_energy,REAL,6,6252,6252,0,0.9523484841356902,0.9506801997865535,0.9513810067316499,0.9523623462992103
qwen2_5_vl_7b,train,retained_energy,REAL,7,6252,6252,0,0.9518148714247809,0.9508159452713523,0.9516087590188083,0.9524883840671103
qwen2_5_vl_7b,train,retained_energy,REAL,8,6252,6252,0,0.9514617061465738,0.950520892885493,0.9510015558333728,0.951532273304617
qwen2_5_vl_7b,train,retained_energy,REAL,9,6252,6252,0,0.9520170356396583,0.9506733368957218,0.9513363827277546,0.9523224368259466
qwen2_5_vl_7b,train,retained_energy,REAL,10,6252,6252,0,0.9515388815947339,0.9505956974451049,0.951195391302825,0.9518965149204506
qwen2_5_vl_7b,train,retained_energy,REAL,11,6252,6252,0,0.9511204528329663,0.950526669234937,0.9510260216934945,0.9515579073265725
qwen2_5_vl_7b,train,retained_energy,REAL,12,6252,6252,0,0.9517608028679406,0.9506892348722286,0.9513496292556358,0.9522846855596159
qwen2_5_vl_7b,train,retained_energy,REAL,13,6252,6252,0,0.9516404066955071,0.9505718806362334,0.9511706657976448,0.951939217340437
qwen2_5_vl_7b,train,retained_energy,REAL,14,6252,6252,0,0.9510570144945731,0.9504421803835914,0.9508852746963503,0.9513946164324008
qwen2_5_vl_7b,train,retained_energy,REAL,15,6252,6252,0,0.9521366413102328,0.9507065513733263,0.9513849383433879,0.9525141122901915
qwen2_5_vl_7b,train,retained_energy,REAL,16,6252,6252,0,0.9519567175347952,0.9506120834665873,0.9512470367009174,0.9521976214677067
qwen2_5_vl_7b,train,retained_energy,REAL,17,6252,6252,0,0.9527702965079713,0.9509483010951598,0.9518827301177224,0.9533204518294895
qwen2_5_vl_7b,train,retained_energy,REAL,18,6252,6252,0,0.9518712984082618,0.9506625400429816,0.9513383200560681,0.9522491946278975
qwen2_5_vl_7b,train,retained_energy,REAL,19,6252,6252,0,0.9523289306902474,0.9507653842735727,0.9515311345527235,0.9527673247762798
qwen2_5_vl_7b,train,retained_energy,REAL,20,6252,6252,0,0.9529133819598388,0.9510095503132443,0.9520030408644384,0.9535977487982111
qwen2_5_vl_7b,train,retained_energy,REAL,21,6252,6252,0,0.9528597828404337,0.9509897545358923,0.9519810412936474,0.9535683541528583
qwen2_5_vl_7b,train,retained_energy,REAL,22,6252,6252,0,0.9524597005306634,0.9508881014400806,0.9517817604204685,0.9530439827196839
qwen2_5_vl_7b,train,retained_energy,REAL,23,6252,6252,0,0.9529956546257536,0.9510341880448747,0.9520712535321056,0.9536079349704798
qwen2_5_vl_7b,train,retained_energy,REAL,24,6252,6252,0,0.9525793389472241,0.9509508282607623,0.951871732365341,0.9532053787414714
qwen2_5_vl_7b,train,retained_energy,REAL,25,6252,6252,0,0.9535129525771526,0.9511262208311031,0.9523668319310816,0.9543521366039929
qwen2_5_vl_7b,train,retained_energy,REAL,26,6252,6252,0,0.9526344348552674,0.9509772875274871,0.9519773661736108,0.9533355474414317
qwen2_5_vl_7b,train,retained_energy,REAL,27,6252,6252,0,0.9522910733112713,0.950874636578251,0.9517115918837813,0.9528593600702167
qwen2_5_vl_7b,train,retained_energy,REAL,28,6252,6252,0,0.951887103167712,0.9507302397212591,0.951450465049471,0.952383465931456
qwen2_5_vl_7b,train,retained_energy,HALL,1,733,733,0,0.9602339552494261,0.9544315647402806,0.9591681525303922,0.9645400221780557
