model,group,baseline,AUROC,HALL_AUPR,baseline_AUROC,baseline_HALL_AUPR,AUROC_delta,HALL_AUPR_delta,seed43_AUROC_delta,seed44_AUROC_delta,seed45_AUROC_delta
qwen3_vl_8b,attention_raw_concat,attention_only,0.9009928665293895,0.6567334719557297,0.8809109427562651,0.6271486732278334,0.020081923773124344,0.029584798727896322,0.014036302285448055,0.028926598933683878,0.017282870100240988
qwen3_vl_8b,attention_raw_concat,strength_only,0.9009928665293895,0.6567334719557297,0.9020212872148079,0.6635123438224694,-0.0010284206854184186,-0.006778871866739644,-0.0020962030631115347,0.005840194616555383,-0.006829253609698771
qwen3_vl_8b,attention_raw_visual_prompt_sum,attention_only,0.8700466011564619,0.5924793760956305,0.8514134706516135,0.5466588191261187,0.018633130504848383,0.045820556969511816,0.017953948363634176,0.017331493367168882,0.020613949783742314
qwen3_vl_8b,attention_raw_visual_prompt_sum,strength_only,0.8700466011564619,0.5924793760956305,0.8603075408769888,0.5685732601675824,0.009739060279473133,0.023906115928048144,0.012035416261472864,0.01251470274976152,0.004667061827185237
qwen3_vl_8b,attention_log1p_prompt,attention_only,0.8799238132578413,0.6160469298664629,0.8578296837583882,0.5848198921401054,0.022094129499453108,0.031227037726357487,0.026908347457234694,0.010028741753339565,0.029345299287785065
qwen3_vl_8b,attention_log1p_prompt,strength_only,0.8799238132578413,0.6160469298664629,0.858956637307475,0.5611654082979215,0.020967175950366346,0.054881521568541425,0.031870236077537806,0.005479765002979198,0.0255515267705817
qwen3_vl_8b,attention_log1p_generation,attention_only,0.8752137880149049,0.5991126839222484,0.8453774966375339,0.5374130160362013,0.029836291377370983,0.06169966788604708,0.03402509578011781,0.030702119974437947,0.024781658377557303
qwen3_vl_8b,attention_log1p_generation,strength_only,0.8752137880149049,0.5991126839222484,0.8568078233550157,0.5559350166902569,0.018405964659889196,0.04317766723199146,0.030783158752651252,0.012310176309509258,0.012124558917507078
qwen3_vl_8b,attention_log1p_visual,attention_only,0.8730904433927412,0.5919764476328186,0.8573184962907394,0.5719783260975343,0.015771947102001804,0.019998121535284352,0.022074963185240826,0.009645158203130944,0.015595719917633755
qwen3_vl_8b,attention_log1p_visual,strength_only,0.8730904433927412,0.5919764476328186,0.8690557413015805,0.5695693297419201,0.004034702091160747,0.022407117890898554,0.0036760733393225165,0.00699403245873198,0.0014340004754274105
qwen3_vl_8b,attention_log1p_concat,attention_only,0.9008325898347015,0.6694089250206158,0.8820290206296431,0.6266759677700993,0.018803569205058435,0.04273295725051651,0.011276353038877085,0.01952185577258503,0.0256124988037133
qwen3_vl_8b,attention_log1p_concat,strength_only,0.9008325898347015,0.6694089250206158,0.9014105378196401,0.6573992479553453,-0.0005779479849385982,0.012009677065270452,0.0010955671016520396,-0.003588088380119814,0.0007586773236518685
qwen3_vl_8b,attention_log1p_visual_prompt_sum,attention_only,0.8514947666957893,0.5775304314347378,0.84380431527635,0.538719333634793,0.007690451419439248,0.03881109779994485,0.028251661680852358,-0.004183916349457806,-0.0009963910730769188
qwen3_vl_8b,attention_log1p_visual_prompt_sum,strength_only,0.8514947666957893,0.5775304314347378,0.8631246031672527,0.5857019702964129,-0.011629836471463428,-0.008171538861675098,0.025408744161349084,-0.028994903046749343,-0.03130335052899025
