model,group,classifier,seed,threshold_rule,threshold,AUROC,HALL_AUPR,HALL_precision,HALL_recall,HALL_F1
qwen2_5_vl_7b,gated_generation,fixed_three_hidden,45,fixed_0.5,0.5,0.8425777956516984,0.40643779810592023,0.4409448818897638,0.30601092896174864,0.36129032258064514
qwen2_5_vl_7b,gated_generation,fixed_three_hidden,45,train_f1,0.503380298614502,0.8425777956516984,0.40643779810592023,0.4307692307692308,0.30601092896174864,0.35782747603833864
qwen2_5_vl_7b,gated_generation,searched_one_hidden,43,fixed_0.5,0.5,0.7955458660090945,0.2976654722382721,0.25,0.00546448087431694,0.0106951871657754
qwen2_5_vl_7b,gated_generation,searched_one_hidden,43,train_f1,0.47699305415153503,0.7955458660090945,0.2976654722382721,0.0,0.0,0.0
qwen2_5_vl_7b,gated_generation,searched_one_hidden,44,fixed_0.5,0.5,0.7918029259137748,0.2970105879923159,0.3333333333333333,0.01639344262295082,0.03125
qwen2_5_vl_7b,gated_generation,searched_one_hidden,44,train_f1,0.47919338941574097,0.7918029259137748,0.2970105879923159,0.3333333333333333,0.01639344262295082,0.03125
qwen2_5_vl_7b,gated_generation,searched_one_hidden,45,fixed_0.5,0.5,0.7901695788222263,0.28669513947872083,0.0,0.0,0.0
qwen2_5_vl_7b,gated_generation,searched_one_hidden,45,train_f1,0.6142755150794983,0.7901695788222263,0.28669513947872083,0.3333333333333333,0.02185792349726776,0.041025641025641026
qwen2_5_vl_7b,gated_vp_generation,fixed_three_hidden,43,fixed_0.5,0.5,0.8660761217355107,0.4431989625770923,0.45108695652173914,0.453551912568306,0.45231607629427795
qwen2_5_vl_7b,gated_vp_generation,fixed_three_hidden,43,train_f1,0.4185665547847748,0.8660761217355107,0.4431989625770923,0.4779874213836478,0.41530054644808745,0.4444444444444444
qwen2_5_vl_7b,gated_vp_generation,fixed_three_hidden,44,fixed_0.5,0.5,0.8745656460893154,0.5016655744170359,0.5253164556962026,0.453551912568306,0.4868035190615836
qwen2_5_vl_7b,gated_vp_generation,fixed_three_hidden,44,train_f1,0.4335116446018219,0.8745656460893154,0.5016655744170359,0.5357142857142857,0.4098360655737705,0.46439628482972134
qwen2_5_vl_7b,gated_vp_generation,fixed_three_hidden,45,fixed_0.5,0.5,0.8583997431799821,0.4585290806980057,0.4810126582278481,0.41530054644808745,0.44574780058651026
qwen2_5_vl_7b,gated_vp_generation,fixed_three_hidden,45,train_f1,0.4637814462184906,0.8583997431799821,0.4585290806980057,0.4899328859060403,0.3989071038251366,0.4397590361445783
qwen2_5_vl_7b,gated_vp_generation,searched_one_hidden,43,fixed_0.5,0.5,0.833285708742111,0.3948747027124378,0.5161290322580645,0.26229508196721313,0.34782608695652173
qwen2_5_vl_7b,gated_vp_generation,searched_one_hidden,43,train_f1,0.3929707109928131,0.833285708742111,0.3948747027124378,0.5319148936170213,0.1366120218579235,0.21739130434782608
qwen2_5_vl_7b,gated_vp_generation,searched_one_hidden,44,fixed_0.5,0.5,0.8278071168778023,0.3811600057460366,0.47058823529411764,0.04371584699453552,0.08
qwen2_5_vl_7b,gated_vp_generation,searched_one_hidden,44,train_f1,0.6503919363021851,0.8278071168778023,0.3811600057460366,0.45901639344262296,0.15300546448087432,0.22950819672131148
qwen2_5_vl_7b,gated_vp_generation,searched_one_hidden,45,fixed_0.5,0.5,0.8322273844927275,0.3941611041515712,0.6538461538461539,0.09289617486338798,0.16267942583732056
qwen2_5_vl_7b,gated_vp_generation,searched_one_hidden,45,train_f1,0.5571259260177612,0.8322273844927275,0.3941611041515712,0.5128205128205128,0.1092896174863388,0.18018018018018017
llava_1_5_7b,attention_visual,fixed_three_hidden,43,fixed_0.5,0.5,0.8918570255342964,0.6787821584105622,0.6302864938608458,0.6516220028208745,0.6407766990291263
llava_1_5_7b,attention_visual,fixed_three_hidden,43,train_f1,0.47261157631874084,0.8918570255342964,0.6787821584105622,0.6467153284671533,0.6248236953455572,0.6355810616929699
llava_1_5_7b,attention_visual,fixed_three_hidden,44,fixed_0.5,0.5,0.8955474863600823,0.6868946310158935,0.6535764375876578,0.6572637517630465,0.6554149085794655
llava_1_5_7b,attention_visual,fixed_three_hidden,44,train_f1,0.49139660596847534,0.8955474863600823,0.6868946310158935,0.6560232220609579,0.6375176304654443,0.6466380543633763
llava_1_5_7b,attention_visual,fixed_three_hidden,45,fixed_0.5,0.5,0.893960816815051,0.6929841510826963,0.6347941567065073,0.6741889985895627,0.6538987688098495
llava_1_5_7b,attention_visual,fixed_three_hidden,45,train_f1,0.4598178565502167,0.893960816815051,0.6929841510826963,0.656934306569343,0.6346967559943583,0.6456241032998565
llava_1_5_7b,attention_visual,searched_one_hidden,43,fixed_0.5,0.5,0.8901010687954216,0.6686398555181352,0.646795827123696,0.61212976022567,0.6289855072463768
llava_1_5_7b,attention_visual,searched_one_hidden,43,train_f1,0.4795045554637909,0.8901010687954216,0.6686398555181352,0.6526479750778816,0.5909732016925247,0.6202812731310141
llava_1_5_7b,attention_visual,searched_one_hidden,44,fixed_0.5,0.5,0.8894106085483956,0.666780289750534,0.6194690265486725,0.691114245416079,0.6533333333333333
llava_1_5_7b,attention_visual,searched_one_hidden,44,train_f1,0.39334842562675476,0.8894106085483956,0.666780289750534,0.6786296900489397,0.5867418899858956,0.6293494704992436
llava_1_5_7b,attention_visual,searched_one_hidden,45,fixed_0.5,0.5,0.8907452282714822,0.6844990460822551,0.6651851851851852,0.6332863187588152,0.6488439306358381
