model,metric,label,layer,n_mentions,mean,q25,median,q75
qwen3_vl_8b,r_amp,REAL,36,12280,0.3913482402266934,0.35806148136180244,0.3969992060672679,0.4310990251565366
qwen3_vl_8b,r_amp,HALL,1,2593,0.04872990038099974,0.037162502136510706,0.04505891369513042,0.05573916507118542
qwen3_vl_8b,r_amp,HALL,2,2593,0.09485435708721207,0.06417604629021496,0.07916282606340866,0.11145626015677207
qwen3_vl_8b,r_amp,HALL,3,2593,0.0745260095280557,0.05795824401370337,0.06734568031267107,0.07977098682434566
qwen3_vl_8b,r_amp,HALL,4,2593,0.06865315685940605,0.04948246109263946,0.06058664560240278,0.07782963625704828
qwen3_vl_8b,r_amp,HALL,5,2593,0.06216143993913826,0.04682425622065644,0.05720822506752063,0.07182941094504042
qwen3_vl_8b,r_amp,HALL,6,2593,0.045144917269989246,0.03596170825413966,0.043589929023713316,0.052841557549244474
qwen3_vl_8b,r_amp,HALL,7,2593,0.03389909746233943,0.02569023207563708,0.030895552426171393,0.03841789824307686
qwen3_vl_8b,r_amp,HALL,8,2593,0.03082352246951602,0.023239996226104738,0.02822516341927319,0.035142328143498755
qwen3_vl_8b,r_amp,HALL,9,2593,0.031053437780421664,0.02303180313162801,0.028668093806128683,0.036307076692055434
qwen3_vl_8b,r_amp,HALL,10,2593,0.09181334913171213,0.06384963944011737,0.08614176234538792,0.11545810016954385
qwen3_vl_8b,r_amp,HALL,11,2593,0.03775064600291287,0.02500527806498858,0.032629976889668906,0.04572633199808171
qwen3_vl_8b,r_amp,HALL,12,2593,0.05228932286404925,0.0346716403657341,0.048115653127053584,0.06531080864344103
qwen3_vl_8b,r_amp,HALL,13,2593,0.031016296689831545,0.023785868345846048,0.02877930500348018,0.03495671827333037
qwen3_vl_8b,r_amp,HALL,14,2593,0.03330106139119844,0.026508428905234818,0.03152520519236799,0.03826506240356631
qwen3_vl_8b,r_amp,HALL,15,2593,0.03416213080328498,0.025817169660670103,0.03186435967554359,0.04043545073136169
qwen3_vl_8b,r_amp,HALL,16,2593,0.0425745909152051,0.034786119218495976,0.0409570928058601,0.04852033673017651
qwen3_vl_8b,r_amp,HALL,17,2593,0.034429557374557426,0.02828300459820962,0.03301720045320748,0.038754103372308155
qwen3_vl_8b,r_amp,HALL,18,2593,0.04048511308293299,0.033577451540223555,0.039320912781416584,0.04605844982013588
qwen3_vl_8b,r_amp,HALL,19,2593,0.03760626398399163,0.029194901986399166,0.035460763073871894,0.04306817395108105
qwen3_vl_8b,r_amp,HALL,20,2593,0.03524530015271815,0.02687111627331419,0.032698670406669454,0.04071637926948416
qwen3_vl_8b,r_amp,HALL,21,2593,0.04432088149920021,0.03432941042653513,0.04249340855716524,0.05234768669230409
qwen3_vl_8b,r_amp,HALL,22,2593,0.03279110662964219,0.02378567585106523,0.030030658731047554,0.03875851560106215
qwen3_vl_8b,r_amp,HALL,23,2593,0.03573041126153312,0.027309868185269738,0.03295763927735759,0.04117571192043126
