model,case_id,layer,strategy,lambda,finite_effect_norm
qwen3_vl_8b,qwen3_vl_8b:16193:11:9,9,highest_8_region,0.0,4.572799205780029
qwen3_vl_8b,qwen3_vl_8b:16193:11:9,9,highest_8_region,0.25,5.07032585144043
qwen3_vl_8b,qwen3_vl_8b:16193:11:9,9,highest_8_region,0.5,5.587088108062744
qwen3_vl_8b,qwen3_vl_8b:16193:11:9,9,highest_8_region,0.75,6.121267318725586
qwen3_vl_8b,qwen3_vl_8b:16193:11:9,9,highest_8_region,1.0,6.671464920043945
qwen3_vl_8b,qwen3_vl_8b:16193:11:9,9,highest_8_region,1.25,7.236536026000977
qwen3_vl_8b,qwen3_vl_8b:16193:11:9,9,deterministic_random_region,0.0,6.270037651062012
qwen3_vl_8b,qwen3_vl_8b:16193:11:9,9,deterministic_random_region,0.25,6.369101524353027
qwen3_vl_8b,qwen3_vl_8b:16193:11:9,9,deterministic_random_region,0.5,6.469038486480713
qwen3_vl_8b,qwen3_vl_8b:16193:11:9,9,deterministic_random_region,0.75,6.569831848144531
qwen3_vl_8b,qwen3_vl_8b:16193:11:9,9,deterministic_random_region,1.0,6.671464920043945
qwen3_vl_8b,qwen3_vl_8b:16193:11:9,9,deterministic_random_region,1.25,6.773918151855469
qwen3_vl_8b,qwen3_vl_8b:167166:165:9,9,highest_p_ffn_token,0.0,1.6734142303466797
qwen3_vl_8b,qwen3_vl_8b:167166:165:9,9,highest_p_ffn_token,0.25,1.6936595439910889
qwen3_vl_8b,qwen3_vl_8b:167166:165:9,9,highest_p_ffn_token,0.5,1.7142738103866577
qwen3_vl_8b,qwen3_vl_8b:167166:165:9,9,highest_p_ffn_token,0.75,1.7352440357208252
qwen3_vl_8b,qwen3_vl_8b:167166:165:9,9,highest_p_ffn_token,1.0,1.756561279296875
qwen3_vl_8b,qwen3_vl_8b:167166:165:9,9,highest_p_ffn_token,1.25,1.7782129049301147
qwen3_vl_8b,qwen3_vl_8b:167166:165:9,9,highest_8_region,0.0,1.3309396505355835
qwen3_vl_8b,qwen3_vl_8b:167166:165:9,9,highest_8_region,0.25,1.4296740293502808
qwen3_vl_8b,qwen3_vl_8b:167166:165:9,9,highest_8_region,0.5,1.534075140953064
qwen3_vl_8b,qwen3_vl_8b:167166:165:9,9,highest_8_region,0.75,1.6432702541351318
