model,group,seed,rule,threshold,AUROC,HALL_AUPR,HALL_precision,HALL_recall,HALL_F1
internvl_2_5_8b,F_E,43,train_f1,0.44075047969818115,0.8539895378272433,0.5194382948645027,0.5299145299145299,0.49865951742627346,0.5138121546961326
internvl_2_5_8b,F_E,44,fixed_0.5,0.5,0.8542198498232271,0.5245200494363071,0.5130434782608696,0.4745308310991957,0.49303621169916434
internvl_2_5_8b,F_E,44,train_f1,0.5196002721786499,0.8542198498232271,0.5245200494363071,0.506631299734748,0.5120643431635389,0.5093333333333333
internvl_2_5_8b,F_E,45,fixed_0.5,0.5,0.8665525565299126,0.5470626850451397,0.583941605839416,0.4289544235924933,0.4945904173106646
internvl_2_5_8b,F_E,45,train_f1,0.551875114440918,0.8665525565299126,0.5470626850451397,0.5425219941348973,0.4959785522788204,0.5182072829131653
internvl_2_5_8b,F_E_Q02,43,fixed_0.5,0.5,0.8523159373230936,0.5213456676012518,0.5923076923076923,0.4128686327077748,0.48657187993680884
internvl_2_5_8b,F_E_Q02,43,train_f1,0.4984130263328552,0.8523159373230936,0.5213456676012518,0.5907335907335908,0.4101876675603217,0.48417721518987344
internvl_2_5_8b,F_E_Q02,44,fixed_0.5,0.5,0.8475868643388911,0.5163075897494882,0.6564885496183206,0.23056300268096513,0.3412698412698413
internvl_2_5_8b,F_E_Q02,44,train_f1,0.6477819681167603,0.8475868643388911,0.5163075897494882,0.592274678111588,0.3699731903485255,0.45544554455445546
internvl_2_5_8b,F_E_Q02,45,fixed_0.5,0.5,0.8329470322463497,0.46482528102373344,0.42700729927007297,0.6273458445040214,0.50814332247557
internvl_2_5_8b,F_E_Q02,45,train_f1,0.294303297996521,0.8329470322463497,0.46482528102373344,0.48917748917748916,0.30294906166219837,0.3741721854304636
internvl_2_5_8b,F_C,43,fixed_0.5,0.5,0.8407876536748449,0.49902187924492947,0.47268408551068886,0.5335120643431636,0.5012594458438288
internvl_2_5_8b,F_C,43,train_f1,0.44866010546684265,0.8407876536748449,0.49902187924492947,0.5103857566765578,0.46112600536193027,0.48450704225352115
internvl_2_5_8b,F_C,44,fixed_0.5,0.5,0.8510235198615724,0.5130196880329159,0.5609756097560976,0.4316353887399464,0.48787878787878786
internvl_2_5_8b,F_C,44,train_f1,0.554439902305603,0.8510235198615724,0.5130196880329159,0.5261627906976745,0.48525469168900803,0.504881450488145
internvl_2_5_8b,F_C,45,fixed_0.5,0.5,0.8550382918727235,0.5146670847880926,0.5067024128686327,0.5067024128686327,0.5067024128686327
internvl_2_5_8b,F_C,45,train_f1,0.44892746210098267,0.8550382918727235,0.5146670847880926,0.5189873417721519,0.43967828418230565,0.4760522496371553
internvl_2_5_8b,F_C_Q02,43,fixed_0.5,0.5,0.8652140766691945,0.5611426271442002,0.5968992248062015,0.4128686327077748,0.48811410459587956
internvl_2_5_8b,F_C_Q02,43,train_f1,0.5296176671981812,0.8652140766691945,0.5611426271442002,0.5483870967741935,0.45576407506702415,0.4978038067349927
internvl_2_5_8b,F_C_Q02,44,fixed_0.5,0.5,0.8656980656462621,0.548097143014284,0.5714285714285714,0.38605898123324395,0.4608
internvl_2_5_8b,F_C_Q02,44,train_f1,0.5544976592063904,0.8656980656462621,0.548097143014284,0.5656565656565656,0.450402144772118,0.5014925373134328
internvl_2_5_8b,F_C_Q02,45,fixed_0.5,0.5,0.8604603035578864,0.5314409675341635,0.5248447204968945,0.45308310991957107,0.48633093525179855
internvl_2_5_8b,F_C_Q02,45,train_f1,0.5081743597984314,0.8604603035578864,0.5314409675341635,0.5239520958083832,0.4691689008042895,0.49504950495049505
