model,group,seed,threshold_rule,threshold,auc,real_aupr,real_precision,real_recall,real_f1,hallucination_aupr,hallucination_precision,hallucination_recall,hallucination_f1
internvl_2_5_8b,full/schedule_on/min_train_loss,43,train_f1,0.4632192552089691,0.8405726958119266,0.9646952837296814,0.8931334622823984,0.9198207171314741,0.9062806673209028,0.47191479476523873,0.48562300319488816,0.4075067024128686,0.44314868804664725
internvl_2_5_8b,full/schedule_on/min_train_loss,44,fixed_0.5,0.5,0.8284142251369855,0.9600939183978248,0.8966346153846154,0.9287848605577689,0.912426614481409,0.47128548122229674,0.5249169435215947,0.42359249329758714,0.4688427299703264
internvl_2_5_8b,full/schedule_on/min_train_loss,44,train_f1,0.47510382533073425,0.8284142251369855,0.9600939183978248,0.8943089430894309,0.9312749003984063,0.9124176628445962,0.47128548122229674,0.5241379310344828,0.4075067024128686,0.45852187028657615
internvl_2_5_8b,full/schedule_on/min_train_loss,45,fixed_0.5,0.5,0.8331406278371768,0.9608741317755605,0.8950169327527818,0.9213147410358565,0.9079754601226994,0.46032680101680273,0.4968152866242038,0.41823056300268097,0.45414847161572053
internvl_2_5_8b,full/schedule_on/min_train_loss,45,train_f1,0.47802573442459106,0.8331406278371768,0.9608741317755605,0.8938736131210806,0.922808764940239,0.9081107571673609,0.46032680101680273,0.4967532467532468,0.4101876675603217,0.44933920704845814
internvl_2_5_8b,full/schedule_on/min_train_loss,ensemble,fixed_0.5,0.5,0.8480882101620328,0.9662982713971886,0.8964200477326969,0.9352589641434262,0.9154277358030709,0.4984102915343819,0.5454545454545454,0.41823056300268097,0.47344461305007585
internvl_2_5_8b,full/schedule_on/min_train_loss,ensemble,train_f1,0.5585102438926697,0.8480882101620328,0.9662982713971886,0.9005819592628516,0.924800796812749,0.9125307125307125,0.4984102915343819,0.5266457680250783,0.450402144772118,0.48554913294797686
qwen2_5_vl_7b,full/schedule_on/min_train_loss,43,fixed_0.5,0.5,0.8578300119590639,0.9784227922369553,0.9263420724094882,0.9580374435119432,0.9419231989844494,0.46089977885304556,0.5,0.3551912568306011,0.41533546325878595
qwen2_5_vl_7b,full/schedule_on/min_train_loss,43,train_f1,0.696924090385437,0.8578300119590639,0.9784227922369553,0.9324410452517528,0.9444803098773402,0.9384220654265555,0.46089977885304556,0.4723926380368098,0.4207650273224044,0.44508670520231214
qwen2_5_vl_7b,full/schedule_on/min_train_loss,44,fixed_0.5,0.5,0.8624901664038493,0.9805570829918873,0.9242706393544382,0.961265332472563,0.9424050632911393,0.4292760994490508,0.5041322314049587,0.3333333333333333,0.40131578947368424
qwen2_5_vl_7b,full/schedule_on/min_train_loss,44,train_f1,0.28717854619026184,0.8624901664038493,0.9805570829918873,0.9196102314250914,0.9748224661071659,0.9464117831400815,0.4292760994490508,0.5666666666666667,0.2786885245901639,0.37362637362637363
qwen2_5_vl_7b,full/schedule_on/min_train_loss,45,fixed_0.5,0.5,0.8636684340681631,0.97875678843404,0.922360248447205,0.9586830213040671,0.9401709401709402,0.4332189754969609,0.47540983606557374,0.31693989071038253,0.380327868852459
qwen2_5_vl_7b,full/schedule_on/min_train_loss,45,train_f1,0.7741842269897461,0.8636684340681631,0.97875678843404,0.9334612923864364,0.9418979987088444,0.9376606683804627,0.4332189754969609,0.46745562130177515,0.43169398907103823,0.44886363636363635
qwen2_5_vl_7b,full/schedule_on/min_train_loss,ensemble,fixed_0.5,0.5,0.8799895578674061,0.983494412640055,0.9197303921568627,0.9690122659780503,0.9437283872995913,0.4736060571560537,0.52,0.28415300546448086,0.3674911660777385
qwen2_5_vl_7b,full/schedule_on/min_train_loss,ensemble,train_f1,0.6587086319923401,0.8799895578674061,0.983494412640055,0.9334600760456274,0.9509360877985797,0.9421170450911417,0.4736060571560537,0.5064935064935064,0.4262295081967213,0.4629080118694362
qwen3_vl_8b,full/schedule_on/min_train_loss,43,fixed_0.5,0.5,0.8770251976574391,0.9702905680120554,0.9088775909268674,0.9255276782158502,0.9171270718232044,0.6148394229738314,0.6021276595744681,0.5484496124031008,0.5740365111561866
qwen3_vl_8b,full/schedule_on/min_train_loss,43,train_f1,0.38475045561790466,0.8770251976574391,0.9702905680120554,0.9032258064516129,0.9366786140979689,0.9196480938416423,0.6148394229738314,0.624113475177305,0.5116279069767442,0.5623003194888179
qwen3_vl_8b,full/schedule_on/min_train_loss,44,fixed_0.5,0.5,0.881506256193678,0.9708484847819017,0.9058641975308642,0.9350856232576663,0.9202429943170684,0.6196926697975065,0.6252873563218391,0.5271317829457365,0.5720294426919033
qwen3_vl_8b,full/schedule_on/min_train_loss,44,train_f1,0.563471257686615,0.881506256193678,0.9708484847819017,0.9077102803738317,0.9283154121863799,0.9178972238629651,0.6196926697975065,0.6078431372549019,0.5406976744186046,0.5723076923076923
qwen3_vl_8b,full/schedule_on/min_train_loss,45,fixed_0.5,0.5,0.8753762514702749,0.970485961609423,0.9096622152395916,0.9223416965352449,0.9159580779118054,0.6060476984866482,0.5945945945945946,0.5542635658914729,0.5737211634904714
qwen3_vl_8b,full/schedule_on/min_train_loss,45,train_f1,0.47238314151763916,0.8753762514702749,0.970485961609423,0.908770555990603,0.9243329350856233,0.9164856860809477,0.6060476984866482,0.5983086680761099,0.5484496124031008,0.5722952477249748
qwen3_vl_8b,full/schedule_on/min_train_loss,ensemble,fixed_0.5,0.5,0.8956247549541707,0.9755392038144367,0.9135658914728683,0.9386698526483472,0.9259477509330191,0.6573724625356084,0.6554809843400448,0.5678294573643411,0.608515057113188
qwen3_vl_8b,full/schedule_on/min_train_loss,ensemble,train_f1,0.5917230248451233,0.8956247549541707,0.9755392038144367,0.9216699801192842,0.9231381919553963,0.9224035017906884,0.6573724625356084,0.623046875,0.6182170542635659,0.6206225680933852
