model,group,classifier,reference,AUROC_delta_pp,HALL_AUPR_delta_pp,reference_AUROC,reference_HALL_AUPR
internvl_2_5_8b,visual_prompt_sum,one_hidden,AE only,5.729606150910205,11.835366762877142,0.7571234276477646,0.3484319339855844
internvl_2_5_8b,visual_prompt_sum,one_hidden,three_hidden same feature,-4.402408240140443,-5.406053266130867,0.8584435715582711,0.5208461342756645
internvl_2_5_8b,visual_prompt_sum,one_hidden,legacy U + frozen-RMS S,-0.9834210966678469,-1.127420801174095,0.8242537001235452,0.4780598096260968
internvl_2_5_8b,visual_prompt_sum,xgb,AE only,5.273410379928,8.361804097494435,0.8021566548818132,0.4321715532980062
internvl_2_5_8b,visual_prompt_sum,xgb,three_hidden same feature,-0.3552812877177902,-0.5056540002713938,0.8584435715582711,0.5208461342756645
internvl_2_5_8b,visual_prompt_sum,xgb,legacy U + frozen-RMS S,-0.17583820215120172,-0.8440861061594473,0.8566491407026052,0.524230455334545
internvl_2_5_8b,generation,three_hidden,AE only,7.748340863534242,12.87828577974553,0.7666825993612681,0.3672558034905841
internvl_2_5_8b,generation,three_hidden,legacy U + frozen-RMS S,-0.30127479358703635,-1.2984778618269743,0.8471787559324809,0.5090234399063092
internvl_2_5_8b,generation,one_hidden,AE only,9.08083483759331,9.517125369363889,0.7207432557526818,0.32339372526089566
internvl_2_5_8b,generation,one_hidden,three_hidden same feature,-3.2614403867995634,-7.747368233350488,0.8441660079966106,0.4960386612880394
internvl_2_5_8b,generation,one_hidden,legacy U + frozen-RMS S,-0.5943162114722678,-1.4120553922420398,0.8174947662433376,0.43268553287695494
internvl_2_5_8b,generation,xgb,AE only,8.593975305213464,12.65446756506386,0.7447996218877839,0.3450620129639159
internvl_2_5_8b,generation,xgb,three_hidden same feature,-1.3426633056692006,-2.4431972673484905,0.8441660079966106,0.4960386612880394
internvl_2_5_8b,generation,xgb,legacy U + frozen-RMS S,-1.7379543488245441,-4.107815495326123,0.848118918428164,0.5126848435678157
internvl_2_5_8b,vp_generation,three_hidden,AE only,4.483718388287761,8.471971529429862,0.8089164788566913,0.45532864050390215
internvl_2_5_8b,vp_generation,three_hidden,legacy U + frozen-RMS S,-1.223902424261858,-2.1550907016075205,0.8659926869821875,0.561599262814276
internvl_2_5_8b,vp_generation,one_hidden,AE only,5.570657495131193,8.098442433011094,0.781273253723266,0.4181330296960844
internvl_2_5_8b,vp_generation,one_hidden,three_hidden same feature,-1.6773834064991,-4.093090177200542,0.8537536627395689,0.5400483557982008
internvl_2_5_8b,vp_generation,one_hidden,legacy U + frozen-RMS S,-1.1265483196792658,-2.3249050092110535,0.8482453118713705,0.5223665041183059
internvl_2_5_8b,vp_generation,xgb,AE only,4.329131196394065,11.859064927613773,0.8274402390438246,0.46526722191687564
internvl_2_5_8b,vp_generation,xgb,three_hidden same feature,1.697788826819635,4.380951539481259,0.8537536627395689,0.5400483557982008
internvl_2_5_8b,vp_generation,xgb,legacy U + frozen-RMS S,-0.2650924452324732,1.6204303531210829,0.87338247546009,0.5676535676618025
