model,group,classifier,index,validation_AUROC,validation_HALL_AUPR,seconds,n_iter,convergence_warning,params
qwen2_5_vl_7b,vp_generation,one_hidden,0,0.7867912473173475,0.2684801400236816,0.359113342827186,36,False,"{""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.01, ""max_iter"": 500, ""solver"": ""adam""}"
qwen2_5_vl_7b,vp_generation,one_hidden,1,0.8096258757870478,0.3229042897070067,0.45420084008947015,55,False,"{""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.01, ""max_iter"": 500, ""solver"": ""sgd""}"
qwen2_5_vl_7b,vp_generation,one_hidden,2,0.8032994577355956,0.31405476225867646,2.7346406639553607,97,False,"{""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.001, ""max_iter"": 500, ""solver"": ""adam""}"
qwen2_5_vl_7b,vp_generation,one_hidden,3,0.7916295782569994,0.2862660272651326,1.2820518389344215,161,False,"{""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.001, ""max_iter"": 500, ""solver"": ""sgd""}"
qwen2_5_vl_7b,vp_generation,one_hidden,4,0.7998263443297056,0.29400552580632,0.8617759679909796,61,False,"{""hidden_layer_sizes"": [128], ""learning_rate_init"": 0.01, ""max_iter"": 500, ""solver"": ""adam""}"
qwen2_5_vl_7b,vp_generation,one_hidden,5,0.8070838407391835,0.3031446368634375,0.679241833044216,59,False,"{""hidden_layer_sizes"": [128], ""learning_rate_init"": 0.01, ""max_iter"": 500, ""solver"": ""sgd""}"
qwen2_5_vl_7b,vp_generation,one_hidden,6,0.8025240141764189,0.29709642192214536,5.39180984091945,94,False,"{""hidden_layer_sizes"": [128], ""learning_rate_init"": 0.001, ""max_iter"": 500, ""solver"": ""adam""}"
qwen2_5_vl_7b,vp_generation,one_hidden,7,0.809819736676842,0.3152256191027397,4.012926543131471,335,False,"{""hidden_layer_sizes"": [128], ""learning_rate_init"": 0.001, ""max_iter"": 500, ""solver"": ""sgd""}"
qwen2_5_vl_7b,vp_generation,one_hidden,8,0.8000365878299049,0.29696354039268313,1.333074975060299,60,False,"{""hidden_layer_sizes"": [256], ""learning_rate_init"": 0.01, ""max_iter"": 500, ""solver"": ""adam""}"
qwen2_5_vl_7b,vp_generation,one_hidden,9,0.8033267620862707,0.29861205647684613,1.4715207628905773,77,False,"{""hidden_layer_sizes"": [256], ""learning_rate_init"": 0.01, ""max_iter"": 500, ""solver"": ""sgd""}"
qwen2_5_vl_7b,vp_generation,one_hidden,10,0.8010386574996861,0.29748039523394043,2.2373396079055965,62,False,"{""hidden_layer_sizes"": [256], ""learning_rate_init"": 0.001, ""max_iter"": 500, ""solver"": ""adam""}"
