model,case_id,layer,strategy,lambda,finite_effect_norm
qwen2_5_vl_7b,qwen2_5_vl_7b:174123:48:7,7,highest_p_ffn_token,0.0,0.8081027865409851
qwen2_5_vl_7b,qwen2_5_vl_7b:174123:48:7,7,highest_p_ffn_token,0.25,0.8243669271469116
qwen2_5_vl_7b,qwen2_5_vl_7b:174123:48:7,7,highest_p_ffn_token,0.5,0.840735673904419
qwen2_5_vl_7b,qwen2_5_vl_7b:174123:48:7,7,highest_p_ffn_token,0.75,0.8572012782096863
qwen2_5_vl_7b,qwen2_5_vl_7b:174123:48:7,7,highest_p_ffn_token,1.0,0.8737593293190002
qwen2_5_vl_7b,qwen2_5_vl_7b:174123:48:7,7,highest_p_ffn_token,1.25,0.8904033303260803
qwen2_5_vl_7b,qwen2_5_vl_7b:174123:48:7,7,highest_8_region,0.0,0.624996542930603
qwen2_5_vl_7b,qwen2_5_vl_7b:174123:48:7,7,highest_8_region,0.25,0.6859121918678284
qwen2_5_vl_7b,qwen2_5_vl_7b:174123:48:7,7,highest_8_region,0.5,0.7478273510932922
qwen2_5_vl_7b,qwen2_5_vl_7b:174123:48:7,7,highest_8_region,0.75,0.8105009198188782
qwen2_5_vl_7b,qwen2_5_vl_7b:174123:48:7,7,highest_8_region,1.0,0.8737593293190002
qwen2_5_vl_7b,qwen2_5_vl_7b:174123:48:7,7,highest_8_region,1.25,0.9374732375144958
qwen2_5_vl_7b,qwen2_5_vl_7b:174123:48:7,7,deterministic_random_region,0.0,0.6907181143760681
qwen2_5_vl_7b,qwen2_5_vl_7b:174123:48:7,7,deterministic_random_region,0.25,0.7357468605041504
qwen2_5_vl_7b,qwen2_5_vl_7b:174123:48:7,7,deterministic_random_region,0.5,0.7813266515731812
qwen2_5_vl_7b,qwen2_5_vl_7b:174123:48:7,7,deterministic_random_region,0.75,0.8273563981056213
qwen2_5_vl_7b,qwen2_5_vl_7b:174123:48:7,7,deterministic_random_region,1.0,0.8737593293190002
qwen2_5_vl_7b,qwen2_5_vl_7b:174123:48:7,7,deterministic_random_region,1.25,0.9204728007316589
qwen2_5_vl_7b,qwen2_5_vl_7b:19109:41:7,7,highest_p_ffn_token,0.0,0.9303515553474426
qwen2_5_vl_7b,qwen2_5_vl_7b:19109:41:7,7,highest_p_ffn_token,0.25,0.9468996524810791
qwen2_5_vl_7b,qwen2_5_vl_7b:19109:41:7,7,highest_p_ffn_token,0.5,0.9639400243759155
qwen2_5_vl_7b,qwen2_5_vl_7b:19109:41:7,7,highest_p_ffn_token,0.75,0.9814510345458984
qwen2_5_vl_7b,qwen2_5_vl_7b:19109:41:7,7,highest_p_ffn_token,1.0,0.9994093775749207
qwen2_5_vl_7b,qwen2_5_vl_7b:19109:41:7,7,highest_p_ffn_token,1.25,1.0177953243255615
qwen2_5_vl_7b,qwen2_5_vl_7b:19109:41:7,7,highest_8_region,0.0,0.7873336672782898
qwen2_5_vl_7b,qwen2_5_vl_7b:19109:41:7,7,highest_8_region,0.25,0.8392692804336548
qwen2_5_vl_7b,qwen2_5_vl_7b:19109:41:7,7,highest_8_region,0.5,0.8920064568519592
qwen2_5_vl_7b,qwen2_5_vl_7b:19109:41:7,7,highest_8_region,0.75,0.9454192519187927
qwen2_5_vl_7b,qwen2_5_vl_7b:19109:41:7,7,highest_8_region,1.0,0.9994093775749207
qwen2_5_vl_7b,qwen2_5_vl_7b:19109:41:7,7,highest_8_region,1.25,1.0538960695266724
qwen2_5_vl_7b,qwen2_5_vl_7b:19109:41:7,7,deterministic_random_region,0.0,0.9310770630836487
qwen2_5_vl_7b,qwen2_5_vl_7b:19109:41:7,7,deterministic_random_region,0.25,0.9478740096092224
qwen2_5_vl_7b,qwen2_5_vl_7b:19109:41:7,7,deterministic_random_region,0.5,0.9648694396018982
qwen2_5_vl_7b,qwen2_5_vl_7b:19109:41:7,7,deterministic_random_region,0.75,0.9820520281791687
qwen2_5_vl_7b,qwen2_5_vl_7b:19109:41:7,7,deterministic_random_region,1.0,0.9994093775749207
qwen2_5_vl_7b,qwen2_5_vl_7b:19109:41:7,7,deterministic_random_region,1.25,1.0169333219528198
qwen2_5_vl_7b,qwen2_5_vl_7b:197616:6:28,28,highest_p_ffn_token,0.0,74.06089782714844
qwen2_5_vl_7b,qwen2_5_vl_7b:197616:6:28,28,highest_p_ffn_token,0.25,74.61302947998047
