model,scale,source,label,layer,n,mean,median,q25,q75
qwen2_5_vl_7b,raw,visual,0,6,916,6.6383516804099605,5.775976181030273,3.733368456363678,8.871540069580078
qwen2_5_vl_7b,raw,visual,0,7,916,1.4184473736382468,1.2417137026786804,0.8203546106815338,1.8140819072723389
qwen2_5_vl_7b,raw,visual,0,8,916,2.8066299423640473,2.5549416542053223,1.3668984174728394,4.001896500587463
qwen2_5_vl_7b,raw,visual,0,9,916,5.3421503069229,4.613310098648071,2.945267140865326,7.126537084579468
qwen2_5_vl_7b,raw,visual,0,10,916,14.985717854385292,14.960370540618896,11.505774974822998,18.294623374938965
qwen2_5_vl_7b,raw,visual,0,11,916,3.1755676960580734,3.020131826400757,2.3757156133651733,3.903672695159912
qwen2_5_vl_7b,raw,visual,0,12,916,5.248189833031471,5.172591924667358,3.7179882526397705,6.682003736495972
qwen2_5_vl_7b,raw,visual,0,13,916,5.957141726688526,6.039998292922974,4.473987340927124,7.3383400440216064
qwen2_5_vl_7b,raw,visual,0,14,916,6.381553878495266,6.3036370277404785,4.857490062713623,7.863120913505554
qwen2_5_vl_7b,raw,visual,0,15,916,11.936040933475745,11.555659770965576,8.676557302474976,14.603331565856934
qwen2_5_vl_7b,raw,visual,0,16,916,5.201063315485762,4.591273546218872,3.456947445869446,6.4468278884887695
qwen2_5_vl_7b,raw,visual,0,17,916,8.607421749543935,8.401686191558838,5.925513386726379,11.328261852264404
qwen2_5_vl_7b,raw,visual,0,18,916,5.416560318304722,5.203415393829346,3.3436595797538757,7.048245549201965
qwen2_5_vl_7b,raw,visual,0,19,916,5.648992632153774,5.675981521606445,4.081954121589661,7.067804336547852
qwen2_5_vl_7b,raw,visual,0,20,916,12.836656113899432,12.907156944274902,9.906665086746216,15.614474058151245
qwen2_5_vl_7b,raw,visual,0,21,916,8.695787441912698,8.716253280639648,6.2463825941085815,10.976400375366211
qwen2_5_vl_7b,raw,visual,0,22,916,20.335717923776553,20.33853530883789,16.39548921585083,24.308363914489746
