model,scope,label,layer,valid,undefined,mean,q25,median,q75
llava_1_5_7b,validation,REAL,14,1209,0,0.40067935987977293,0.17408512348963603,0.35379377839465936,0.5987623269585046
llava_1_5_7b,validation,REAL,15,1209,0,0.48209126207517594,0.19933775100798812,0.3936279236804694,0.6943531602621078
llava_1_5_7b,validation,REAL,16,1209,0,0.6206104959786042,0.24687304574905372,0.4964914735406637,0.9153458944388798
llava_1_5_7b,validation,REAL,17,1209,0,0.5930486033437877,0.2237846570510772,0.48910410422831774,0.8914241662079637
llava_1_5_7b,validation,REAL,18,1209,0,0.3666940983601646,0.12833923159428595,0.2996882105556627,0.55152527987957
llava_1_5_7b,validation,REAL,19,1209,0,0.4266155644463466,0.13729820518036845,0.3307205041576373,0.6627632104791701
llava_1_5_7b,validation,REAL,20,1209,0,0.4677635074770732,0.16439566334787134,0.3475654593740518,0.6784727773629129
llava_1_5_7b,validation,REAL,21,1209,0,0.3668313390107137,0.13125760496178693,0.3162229597458945,0.5534795563047131
llava_1_5_7b,validation,REAL,22,1209,0,0.18701199365331286,0.06391394424443955,0.12719971109181644,0.26019323526674676
llava_1_5_7b,validation,REAL,23,1209,0,0.374733707404164,0.11763921545611487,0.2655585279258398,0.5423127590782113
llava_1_5_7b,validation,REAL,24,1209,0,0.2684655063211634,0.09462181251082155,0.18572376982774585,0.34515098699678975
llava_1_5_7b,validation,REAL,25,1209,0,0.14996591661638384,0.06399415024447833,0.12179850024933164,0.2099046611360141
llava_1_5_7b,validation,REAL,26,1209,0,0.1290678265642406,0.035135866509965405,0.06061338378848242,0.13183388710021973
llava_1_5_7b,validation,REAL,27,1209,0,0.26449530428203966,0.11498111318796873,0.20757791228019273,0.3795406042287747
llava_1_5_7b,validation,REAL,28,1209,0,0.13757897985480952,0.04457329824715313,0.08232990281345944,0.1567683414489563
llava_1_5_7b,validation,REAL,29,1209,0,0.2105066632592127,0.06385528633005119,0.15575366991865652,0.31892831454222853
llava_1_5_7b,validation,REAL,30,1209,0,0.2124544041222972,0.09503866287663446,0.17506372423044272,0.31116684195068145
llava_1_5_7b,validation,REAL,31,1209,0,0.5056056105969654,0.13293720002878795,0.31013934645387864,0.633592372139295
llava_1_5_7b,validation,REAL,32,1209,0,1.3855014965176389,0.540312227482597,1.1650304037791033,2.230664387345314
llava_1_5_7b,validation,HALL,1,376,0,0.04124874837543246,0.023749266801058145,0.03365254308053264,0.04648326255160341
llava_1_5_7b,validation,HALL,2,376,0,0.047884152428544276,0.026412867435833237,0.033630253560849865,0.04508223023370928
