model,group,seed,rule,threshold,AUROC,HALL_AUPR,HALL_F1
internvl_2_5_8b,gated_ratio,43,fixed_0.5,0.5,0.8332574527626758,0.44746529894904336,0.07017543859649122
internvl_2_5_8b,gated_ratio,43,train_f1,0.5548345446586609,0.8332574527626758,0.44746529894904336,0.27091633466135456
internvl_2_5_8b,gated_ratio,44,fixed_0.5,0.5,0.8319323243220149,0.4479072406083022,0.0784313725490196
internvl_2_5_8b,gated_ratio,44,train_f1,0.5287654399871826,0.8319323243220149,0.4479072406083022,0.20043572984749455
internvl_2_5_8b,gated_ratio,45,fixed_0.5,0.5,0.8345939299103853,0.4597736519378293,0.07575757575757576
internvl_2_5_8b,gated_ratio,45,train_f1,0.5486931800842285,0.8345939299103853,0.4597736519378293,0.2718052738336714
internvl_2_5_8b,F_reference,43,fixed_0.5,0.5,0.8539895378272433,0.5194382948645027,0.5367027677496992
internvl_2_5_8b,F_reference,43,train_f1,0.44075047969818115,0.8539895378272433,0.5194382948645027,0.5138121546961326
internvl_2_5_8b,F_reference,44,fixed_0.5,0.5,0.8542198498232271,0.5245200494363071,0.49303621169916434
internvl_2_5_8b,F_reference,44,train_f1,0.5196002721786499,0.8542198498232271,0.5245200494363071,0.5093333333333333
internvl_2_5_8b,F_reference,45,fixed_0.5,0.5,0.8665525565299126,0.5470626850451397,0.4945904173106646
internvl_2_5_8b,F_reference,45,train_f1,0.551875114440918,0.8665525565299126,0.5470626850451397,0.5182072829131653
