model,scope,metric,label,layer,total,valid,undefined,mean,q25,median,q75
qwen3_vl_8b,validation,ovir,HALL,23,274,274,0,0.9351339276231313,0.9241982931125253,0.9379889288791445,0.9493151186636261
qwen3_vl_8b,validation,ovir,HALL,24,274,274,0,0.9560610877374823,0.9467639483569886,0.9566786933176588,0.9662664979938029
qwen3_vl_8b,validation,ovir,HALL,25,274,274,0,0.9798056512375274,0.9753166977289152,0.9801824122493338,0.9844976102255615
qwen3_vl_8b,validation,ovir,HALL,26,274,274,0,0.9826208129254218,0.9798474281499651,0.9848164941333379,0.9885664536860825
qwen3_vl_8b,validation,ovir,HALL,27,274,274,0,0.9886383136230346,0.985700744838543,0.988688179429071,0.9917791934063972
qwen3_vl_8b,validation,ovir,HALL,28,274,274,0,0.9807777390158712,0.9742802517437502,0.9828709052951572,0.9887349148422311
qwen3_vl_8b,validation,ovir,HALL,29,274,274,0,0.9895960184963202,0.986687476108209,0.9914508830201956,0.9944542421436013
qwen3_vl_8b,validation,ovir,HALL,30,274,274,0,0.9892149313345442,0.9859454206681695,0.990844470588592,0.9947815080088451
qwen3_vl_8b,validation,ovir,HALL,31,274,274,0,0.9937755190315086,0.991546604022779,0.9946870316601637,0.9967669719191716
qwen3_vl_8b,validation,ovir,HALL,32,274,274,0,0.9955729002107973,0.9938118204049575,0.9965843739887286,0.9981533896063941
qwen3_vl_8b,validation,ovir,HALL,33,274,274,0,0.993916651147308,0.9926846513061148,0.995682927635493,0.997440245100591
qwen3_vl_8b,validation,ovir,HALL,34,274,274,0,0.9881921809435062,0.9885934549844665,0.9926390183979794,0.9945180802054998
qwen3_vl_8b,validation,ovir,HALL,35,274,274,0,0.9787223671541209,0.9758033893709673,0.9869826066278059,0.992417977495445
qwen3_vl_8b,validation,ovir,HALL,36,274,274,0,0.5341723051329168,0.404288724365089,0.5107099504946593,0.6138371192347187
qwen3_vl_8b,validation,rank95,REAL,1,1261,1261,0,12.814432989690722,9.0,12.0,16.0
qwen3_vl_8b,validation,rank95,REAL,2,1261,1261,0,9.715305313243457,5.0,8.0,12.0
qwen3_vl_8b,validation,rank95,REAL,3,1261,1261,0,23.179222839016653,13.0,22.0,32.0
qwen3_vl_8b,validation,rank95,REAL,4,1261,1261,0,19.561459159397305,12.0,20.0,27.0
qwen3_vl_8b,validation,rank95,REAL,5,1261,1261,0,16.632831086439335,10.0,15.0,22.0
qwen3_vl_8b,validation,rank95,REAL,6,1261,1261,0,15.193497224425059,9.0,15.0,20.0
qwen3_vl_8b,validation,rank95,REAL,7,1261,1261,0,12.131641554321966,6.0,10.0,16.0
qwen3_vl_8b,validation,rank95,REAL,8,1261,1261,0,13.408406026962728,9.0,13.0,17.0
qwen3_vl_8b,validation,rank95,REAL,9,1261,1261,0,12.616970658207771,7.0,12.0,17.0
qwen3_vl_8b,validation,rank95,REAL,10,1261,1261,0,16.098334655035686,9.0,15.0,22.0
qwen3_vl_8b,validation,rank95,REAL,11,1261,1261,0,18.608247422680414,11.0,18.0,25.0
qwen3_vl_8b,validation,rank95,REAL,12,1261,1261,0,15.822363203806503,8.0,15.0,22.0
qwen3_vl_8b,validation,rank95,REAL,13,1261,1261,0,18.175257731958762,13.0,18.0,23.0
qwen3_vl_8b,validation,rank95,REAL,14,1261,1261,0,14.181601903251387,8.0,13.0,19.0
qwen3_vl_8b,validation,rank95,REAL,15,1261,1261,0,14.829500396510706,9.0,13.0,19.0
qwen3_vl_8b,validation,rank95,REAL,16,1261,1261,0,14.636796193497224,8.0,13.0,20.0
qwen3_vl_8b,validation,rank95,REAL,17,1261,1261,0,22.053132434575733,13.0,20.0,30.0
qwen3_vl_8b,validation,rank95,REAL,18,1261,1261,0,12.913560666137986,7.0,11.0,17.0
qwen3_vl_8b,validation,rank95,REAL,19,1261,1261,0,17.91197462331483,9.0,16.0,24.0
qwen3_vl_8b,validation,rank95,REAL,20,1261,1261,0,14.896114195083268,7.0,12.0,20.0
qwen3_vl_8b,validation,rank95,REAL,21,1261,1261,0,12.07137192704203,6.0,11.0,16.0
qwen3_vl_8b,validation,rank95,REAL,22,1261,1261,0,10.46629659000793,5.0,9.0,14.0
qwen3_vl_8b,validation,rank95,REAL,23,1261,1261,0,14.410785091197463,7.0,12.0,20.0
qwen3_vl_8b,validation,rank95,REAL,24,1261,1261,0,9.21808088818398,5.0,8.0,12.0
qwen3_vl_8b,validation,rank95,REAL,25,1261,1261,0,11.67644726407613,7.0,10.0,15.0
qwen3_vl_8b,validation,rank95,REAL,26,1261,1261,0,9.869151467089612,5.0,9.0,13.0
qwen3_vl_8b,validation,rank95,REAL,27,1261,1261,0,11.249008723235526,6.0,10.0,15.0
qwen3_vl_8b,validation,rank95,REAL,28,1261,1261,0,10.950039651070579,6.0,10.0,15.0
qwen3_vl_8b,validation,rank95,REAL,29,1261,1261,0,8.185567010309278,4.0,7.0,10.0
qwen3_vl_8b,validation,rank95,REAL,30,1261,1261,0,11.675654242664551,7.0,10.0,15.0
qwen3_vl_8b,validation,rank95,REAL,31,1261,1261,0,13.394131641554322,8.0,13.0,17.0
qwen3_vl_8b,validation,rank95,REAL,32,1261,1261,0,10.206978588421887,6.0,9.0,13.0
qwen3_vl_8b,validation,rank95,REAL,33,1261,1261,0,8.42426645519429,5.0,7.0,11.0
qwen3_vl_8b,validation,rank95,REAL,34,1261,1261,0,13.11340206185567,8.0,12.0,17.0
qwen3_vl_8b,validation,rank95,REAL,35,1261,1261,0,13.079302141157811,8.0,12.0,17.0
qwen3_vl_8b,validation,rank95,REAL,36,1261,1261,0,21.583663758921492,14.0,21.0,28.0
qwen3_vl_8b,validation,rank95,HALL,1,274,274,0,13.277372262773723,9.0,12.0,16.0
qwen3_vl_8b,validation,rank95,HALL,2,274,274,0,12.251824817518248,7.0,10.0,16.0
qwen3_vl_8b,validation,rank95,HALL,3,274,274,0,26.94890510948905,17.0,26.5,37.0
qwen3_vl_8b,validation,rank95,HALL,4,274,274,0,21.952554744525546,14.0,22.0,29.0
qwen3_vl_8b,validation,rank95,HALL,5,274,274,0,19.116788321167885,11.0,18.0,26.0
qwen3_vl_8b,validation,rank95,HALL,6,274,274,0,18.82116788321168,14.0,18.0,25.0
qwen3_vl_8b,validation,rank95,HALL,7,274,274,0,18.883211678832115,10.0,16.0,27.0
qwen3_vl_8b,validation,rank95,HALL,8,274,274,0,14.627737226277372,10.0,13.0,18.0
qwen3_vl_8b,validation,rank95,HALL,9,274,274,0,12.864963503649635,6.0,11.5,19.0
qwen3_vl_8b,validation,rank95,HALL,10,274,274,0,15.97080291970803,9.0,16.0,21.0
qwen3_vl_8b,validation,rank95,HALL,11,274,274,0,19.2007299270073,10.0,17.0,27.0
qwen3_vl_8b,validation,rank95,HALL,12,274,274,0,14.430656934306569,8.0,12.5,20.0
qwen3_vl_8b,validation,rank95,HALL,13,274,274,0,17.142335766423358,11.25,17.0,22.0
qwen3_vl_8b,validation,rank95,HALL,14,274,274,0,12.197080291970803,6.0,10.0,17.0
qwen3_vl_8b,validation,rank95,HALL,15,274,274,0,14.678832116788321,8.0,13.0,19.75
qwen3_vl_8b,validation,rank95,HALL,16,274,274,0,11.558394160583942,6.0,9.0,15.0
qwen3_vl_8b,validation,rank95,HALL,17,274,274,0,16.44890510948905,9.0,15.0,22.0
qwen3_vl_8b,validation,rank95,HALL,18,274,274,0,9.89051094890511,6.0,9.0,12.0
qwen3_vl_8b,validation,rank95,HALL,19,274,274,0,12.875912408759124,7.0,11.0,18.0
qwen3_vl_8b,validation,rank95,HALL,20,274,274,0,11.642335766423358,6.0,9.5,15.0
qwen3_vl_8b,validation,rank95,HALL,21,274,274,0,9.007299270072993,4.0,7.0,12.0
qwen3_vl_8b,validation,rank95,HALL,22,274,274,0,8.069343065693431,4.0,6.0,11.0
qwen3_vl_8b,validation,rank95,HALL,23,274,274,0,11.562043795620438,5.0,10.0,16.0
qwen3_vl_8b,validation,rank95,HALL,24,274,274,0,7.04014598540146,4.0,6.0,9.0
qwen3_vl_8b,validation,rank95,HALL,25,274,274,0,8.543795620437956,5.0,7.0,11.75
qwen3_vl_8b,validation,rank95,HALL,26,274,274,0,8.562043795620438,4.0,8.0,12.0
qwen3_vl_8b,validation,rank95,HALL,27,274,274,0,8.959854014598541,5.0,8.0,12.0
qwen3_vl_8b,validation,rank95,HALL,28,274,274,0,10.726277372262773,5.25,9.0,14.0
qwen3_vl_8b,validation,rank95,HALL,29,274,274,0,7.021897810218978,3.25,6.0,9.0
qwen3_vl_8b,validation,rank95,HALL,30,274,274,0,9.423357664233576,5.0,9.0,12.0
qwen3_vl_8b,validation,rank95,HALL,31,274,274,0,12.328467153284672,6.25,11.0,16.0
qwen3_vl_8b,validation,rank95,HALL,32,274,274,0,9.635036496350365,4.0,8.0,13.0
qwen3_vl_8b,validation,rank95,HALL,33,274,274,0,7.708029197080292,4.0,6.5,10.0
qwen3_vl_8b,validation,rank95,HALL,34,274,274,0,10.872262773722628,6.0,10.0,14.0
qwen3_vl_8b,validation,rank95,HALL,35,274,274,0,11.021897810218977,6.0,9.0,15.0
qwen3_vl_8b,validation,rank95,HALL,36,274,274,0,23.354014598540147,16.0,23.0,29.75
qwen3_vl_8b,validation,retained_energy,REAL,1,1261,1261,0,0.95267718991987,0.9510786093770407,0.9520447521470592,0.953392937938674
qwen3_vl_8b,validation,retained_energy,REAL,2,1261,1261,0,0.9548095021121953,0.951524664874733,0.9531779566890848,0.9562572185870682
qwen3_vl_8b,validation,retained_energy,REAL,3,1261,1261,0,0.9520920451497022,0.9506836858579514,0.9513079982058544,0.9521446813632208
qwen3_vl_8b,validation,retained_energy,REAL,4,1261,1261,0,0.9529218522932146,0.9508434549559321,0.9516394067517443,0.9526828759297875
qwen3_vl_8b,validation,retained_energy,REAL,5,1261,1261,0,0.9525852405300982,0.9509660351116663,0.9518491501906088,0.9531376691264348
qwen3_vl_8b,validation,retained_energy,REAL,6,1261,1261,0,0.9533238315997599,0.9510515666526197,0.9521051261049236,0.9534608097727146
qwen3_vl_8b,validation,retained_energy,REAL,7,1261,1261,0,0.9542312011235585,0.9513639861489658,0.9528312114157226,0.9553921122686473
qwen3_vl_8b,validation,retained_energy,REAL,8,1261,1261,0,0.9528751297653715,0.9512248092375654,0.9524824148705703,0.9538275074312804
qwen3_vl_8b,validation,retained_energy,REAL,9,1261,1261,0,0.9538597419968876,0.9512274443839346,0.9525909097914126,0.9544248720566715
qwen3_vl_8b,validation,retained_energy,REAL,10,1261,1261,0,0.952948785220337,0.9510026293541455,0.9520375332206317,0.9536180327108366
qwen3_vl_8b,validation,retained_energy,REAL,11,1261,1261,0,0.9528255841484669,0.9509235881393325,0.9518403828919575,0.9530605224722842
qwen3_vl_8b,validation,retained_energy,REAL,12,1261,1261,0,0.9535042653424122,0.9509493020627091,0.9519917462630293,0.9536385955737209
qwen3_vl_8b,validation,retained_energy,REAL,13,1261,1261,0,0.9523782426409769,0.9509255851915477,0.9518772565509199,0.9529892434688875
qwen3_vl_8b,validation,retained_energy,REAL,14,1261,1261,0,0.9533281256757699,0.9511923190929503,0.952419345759197,0.9541638748021642
qwen3_vl_8b,validation,retained_energy,REAL,15,1261,1261,0,0.9531340993206763,0.9511074400835605,0.9523464569962389,0.9539071821941351
qwen3_vl_8b,validation,retained_energy,REAL,16,1261,1261,0,0.9536219381369277,0.951208034102585,0.9523967598159884,0.9544316948996362
qwen3_vl_8b,validation,retained_energy,REAL,17,1261,1261,0,0.9523546056888815,0.950813674802115,0.9516638052569756,0.9527807044980243
qwen3_vl_8b,validation,retained_energy,REAL,18,1261,1261,0,0.9542185316687948,0.9515024225799572,0.953064685442238,0.9552839952365161
qwen3_vl_8b,validation,retained_energy,REAL,19,1261,1261,0,0.9530891125208706,0.9510304341735755,0.9520883175218292,0.9539122220856892
qwen3_vl_8b,validation,retained_energy,REAL,20,1261,1261,0,0.9542782266336145,0.9513902821925472,0.9527638579949469,0.9552207406458825
qwen3_vl_8b,validation,retained_energy,REAL,21,1261,1261,0,0.9546837982028212,0.9516081723742589,0.9531954164183818,0.9558089769678961
qwen3_vl_8b,validation,retained_energy,REAL,22,1261,1261,0,0.9558901550795461,0.9518012627554376,0.9538889398207536,0.9573698522348075
qwen3_vl_8b,validation,retained_energy,REAL,23,1261,1261,0,0.9542750188456214,0.951303517665661,0.9527249866905856,0.9548944496391747
qwen3_vl_8b,validation,retained_energy,REAL,24,1261,1261,0,0.9564869709962367,0.9521053846135553,0.9541315816254927,0.9582690037189026
qwen3_vl_8b,validation,retained_energy,REAL,25,1261,1261,0,0.9545145495073659,0.9515360187006414,0.9531600905122705,0.955652939270375
qwen3_vl_8b,validation,retained_energy,REAL,26,1261,1261,0,0.9554748998868875,0.9517748760946335,0.9536564977093964,0.9568936840084301
qwen3_vl_8b,validation,retained_energy,REAL,27,1261,1261,0,0.955406161809062,0.9517700506353028,0.9536369484902552,0.9568627294741379
qwen3_vl_8b,validation,retained_energy,REAL,28,1261,1261,0,0.9544940559473993,0.9515320289373228,0.9533031440179163,0.9555837784244915
qwen3_vl_8b,validation,retained_energy,REAL,29,1261,1261,0,0.9568328413978862,0.9523332900272662,0.9548494748080846,0.9591856529401135
qwen3_vl_8b,validation,retained_energy,REAL,30,1261,1261,0,0.9543238878172396,0.9516433761430699,0.9531128305084796,0.9555373847747065
qwen3_vl_8b,validation,retained_energy,REAL,31,1261,1261,0,0.9538562284639513,0.9514723152557105,0.9528459141678033,0.9546416815021255
qwen3_vl_8b,validation,retained_energy,REAL,32,1261,1261,0,0.955219852056811,0.9519419065618907,0.9537792059991096,0.9566093517359663
qwen3_vl_8b,validation,retained_energy,REAL,33,1261,1261,0,0.9566242697566473,0.9522924228730978,0.9546200493586947,0.9587849096567438
qwen3_vl_8b,validation,retained_energy,REAL,34,1261,1261,0,0.9543456463894684,0.9515399487974786,0.9530709749652267,0.9554248815483517
qwen3_vl_8b,validation,retained_energy,REAL,35,1261,1261,0,0.9540070850785086,0.9515048058337935,0.9529785177483645,0.9550095696608356
qwen3_vl_8b,validation,retained_energy,REAL,36,1261,1261,0,0.9521515308615222,0.9508634367082623,0.9517569095709231,0.9528509726919624
qwen3_vl_8b,validation,retained_energy,HALL,1,274,274,0,0.9524182512399291,0.9510782207417036,0.9520552240215845,0.9533117421183487
qwen3_vl_8b,validation,retained_energy,HALL,2,274,274,0,0.9536720456014202,0.9513846404255171,0.952607252629711,0.9544804797592907
qwen3_vl_8b,validation,retained_energy,HALL,3,274,274,0,0.951440939882013,0.9505286475453116,0.9511424925400488,0.951856938922155
qwen3_vl_8b,validation,retained_energy,HALL,4,274,274,0,0.9524957668190048,0.9507136455718046,0.9514497509529177,0.9523077892017284
qwen3_vl_8b,validation,retained_energy,HALL,5,274,274,0,0.9525573827270841,0.9508684452724758,0.9515968904002332,0.9528129145572662
qwen3_vl_8b,validation,retained_energy,HALL,6,274,274,0,0.9523816038289167,0.9508673597669662,0.9517906311537623,0.9527551091550835
qwen3_vl_8b,validation,retained_energy,HALL,7,274,274,0,0.952833366867923,0.951021929149763,0.9518816836557358,0.9532728134370863
qwen3_vl_8b,validation,retained_energy,HALL,8,274,274,0,0.9528962075102199,0.9511125754869434,0.9521915929536303,0.9538292612217794
qwen3_vl_8b,validation,retained_energy,HALL,9,274,274,0,0.9541256420229972,0.9511715287711688,0.9526208639223372,0.9544808957344171
