model,group,seed,threshold_rule,threshold,AUROC,HALL_AUPR,HALL_precision,HALL_recall,HALL_F1
qwen3_vl_8b,F,43,fixed_0.5,0.5,0.8905891596355879,0.6266459645854776,0.584870848708487,0.6143410852713178,0.5992438563327032
qwen3_vl_8b,F,43,train_f1,0.4273279905319214,0.8905891596355879,0.6266459645854776,0.647196261682243,0.5368217054263565,0.586864406779661
qwen3_vl_8b,F,44,fixed_0.5,0.5,0.8858321833544807,0.633226828724251,0.6115384615384616,0.6162790697674418,0.6138996138996139
qwen3_vl_8b,F,44,train_f1,0.4726244807243347,0.8858321833544807,0.633226828724251,0.625,0.5813953488372093,0.6024096385542169
qwen3_vl_8b,F,45,fixed_0.5,0.5,0.88322775138229,0.6250871850149625,0.5850091407678245,0.6201550387596899,0.6020696142991533
qwen3_vl_8b,F,45,train_f1,0.4179501533508301,0.88322775138229,0.6250871850149625,0.6210762331838565,0.5368217054263565,0.5758835758835759
qwen3_vl_8b,F_C,43,fixed_0.5,0.5,0.8898073283753036,0.6261979238478452,0.5775401069518716,0.627906976744186,0.6016713091922006
qwen3_vl_8b,F_C,43,train_f1,0.40715673565864563,0.8898073283753036,0.6261979238478452,0.6444954128440367,0.5445736434108527,0.5903361344537815
qwen3_vl_8b,F_C,44,fixed_0.5,0.5,0.8864681448139814,0.6357352423891354,0.6455696202531646,0.4941860465116279,0.5598243688254665
qwen3_vl_8b,F_C,44,train_f1,0.5062642097473145,0.8864681448139814,0.6357352423891354,0.6407035175879398,0.4941860465116279,0.5579868708971554
qwen3_vl_8b,F_C,45,fixed_0.5,0.5,0.8819373053139827,0.6168656171635598,0.5732368896925859,0.6143410852713178,0.5930776426566885
