model,split,metric,region,label,n,layer,mean,median,q25,q75
llava_1_5_7b,train,raw_attention,visual,1,9539,29,0.06871848530709644,0.06785117089748383,0.0532128494232893,0.08246376737952232
llava_1_5_7b,train,raw_attention,visual,1,9539,30,0.11593766689057626,0.11623387783765793,0.09334497153759003,0.13961486518383026
llava_1_5_7b,train,raw_attention,visual,1,9539,31,0.05075161635175868,0.0494515486061573,0.0391186885535717,0.060641977936029434
llava_1_5_7b,train,raw_attention,visual,1,9539,32,0.16363660503494776,0.1643000990152359,0.14201565086841583,0.18492788821458817
llava_1_5_7b,train,raw_attention,prompt,0,2778,1,0.04839421996995646,0.04277781769633293,0.038977596908807755,0.05167296156287193
llava_1_5_7b,train,raw_attention,prompt,0,2778,2,0.14821440517054865,0.13435187935829163,0.11699731647968292,0.1640426442027092
llava_1_5_7b,train,raw_attention,prompt,0,2778,3,0.010989901694201625,0.006951566785573959,0.00544701935723424,0.009547084104269743
llava_1_5_7b,train,raw_attention,prompt,0,2778,4,0.005245347328945361,0.0034357504919171333,0.0025226459838449955,0.005158065818250179
llava_1_5_7b,train,raw_attention,prompt,0,2778,5,0.00732105164242207,0.0064170341938734055,0.004429945722222328,0.008843778166919947
llava_1_5_7b,train,raw_attention,prompt,0,2778,6,0.008573383762037865,0.007179594598710537,0.0053282249718904495,0.010682385414838791
llava_1_5_7b,train,raw_attention,prompt,0,2778,7,0.015000032484290023,0.012571628205478191,0.009140122216194868,0.01830181386321783
llava_1_5_7b,train,raw_attention,prompt,0,2778,8,0.009824976523502685,0.008682199753820896,0.0065501295030117035,0.011749343015253544
llava_1_5_7b,train,raw_attention,prompt,0,2778,9,0.01832479287255381,0.01742644887417555,0.012559909373521805,0.022622438613325357
llava_1_5_7b,train,raw_attention,prompt,0,2778,10,0.012797049718088946,0.011347849853336811,0.00865721981972456,0.015698479488492012
llava_1_5_7b,train,raw_attention,prompt,0,2778,11,0.024879491658005636,0.02302523609250784,0.01753630954772234,0.030654374975711107
llava_1_5_7b,train,raw_attention,prompt,0,2778,12,0.020993975699859786,0.02020058874040842,0.016315081156790257,0.024622326716780663
llava_1_5_7b,train,raw_attention,prompt,0,2778,13,0.0155202038431925,0.014016483910381794,0.010694032069295645,0.018396614585071802
llava_1_5_7b,train,raw_attention,prompt,0,2778,14,0.022918930593033203,0.021858359687030315,0.017428959719836712,0.02680255612358451
llava_1_5_7b,train,raw_attention,prompt,0,2778,15,0.015610673117516408,0.013803805224597454,0.010395277757197618,0.01877482933923602
llava_1_5_7b,train,raw_attention,prompt,0,2778,16,0.02478469603629937,0.02460811845958233,0.020185064990073442,0.028699456714093685
llava_1_5_7b,train,raw_attention,prompt,0,2778,17,0.019477212839794082,0.018531857058405876,0.015188933815807104,0.022239799611270428
llava_1_5_7b,train,raw_attention,prompt,0,2778,18,0.007569624697742615,0.006806137040257454,0.005514082033187151,0.008276361972093582
llava_1_5_7b,train,raw_attention,prompt,0,2778,19,0.007333600713923047,0.006486767902970314,0.005076244473457336,0.008239160757511854
llava_1_5_7b,train,raw_attention,prompt,0,2778,20,0.005993421447628947,0.004825751297175884,0.003677201457321644,0.006723287049680948
llava_1_5_7b,train,raw_attention,prompt,0,2778,21,0.012918757274076396,0.012042323127388954,0.010209605097770691,0.014506436884403229
llava_1_5_7b,train,raw_attention,prompt,0,2778,22,0.0037933082304374617,0.0034459326416254044,0.0028761536814272404,0.004151975270360708
llava_1_5_7b,train,raw_attention,prompt,0,2778,23,0.00443601697854982,0.003992769867181778,0.003123787697404623,0.005134579725563526
llava_1_5_7b,train,raw_attention,prompt,0,2778,24,0.0034042314905874415,0.003132464364171028,0.0026219896972179413,0.0037570660933852196
llava_1_5_7b,train,raw_attention,prompt,0,2778,25,0.008922086997109193,0.00748039036989212,0.006269463337957859,0.009623040910810232
llava_1_5_7b,train,raw_attention,prompt,0,2778,26,0.005617181292438009,0.0052764397114515305,0.004583765286952257,0.006176738999783993
llava_1_5_7b,train,raw_attention,prompt,0,2778,27,0.010793563986936004,0.009836887009441853,0.008281843271106482,0.011797687038779259
llava_1_5_7b,train,raw_attention,prompt,0,2778,28,0.00424431356392892,0.0039037512615323067,0.003212643787264824,0.004745801445096731
llava_1_5_7b,train,raw_attention,prompt,0,2778,29,0.012436730771736544,0.011640222743153572,0.009575286880135536,0.014125143177807331
llava_1_5_7b,train,raw_attention,prompt,0,2778,30,0.013459698472754014,0.012468099594116211,0.01099286274984479,0.014552860986441374
llava_1_5_7b,train,raw_attention,prompt,0,2778,31,0.012333575287489174,0.011654013767838478,0.009978503920137882,0.013576787430793047
llava_1_5_7b,train,raw_attention,prompt,0,2778,32,0.03183787618881082,0.03044860251247883,0.026668264530599117,0.034876855090260506
llava_1_5_7b,train,raw_attention,prompt,1,9539,1,0.08060697329721994,0.0798003226518631,0.052048925310373306,0.10501713305711746
llava_1_5_7b,train,raw_attention,prompt,1,9539,2,0.2392876533124979,0.24137058854103088,0.16211215406656265,0.31739698350429535
llava_1_5_7b,train,raw_attention,prompt,1,9539,3,0.016226181623548667,0.013284504413604736,0.008470157161355019,0.01851554960012436
llava_1_5_7b,train,raw_attention,prompt,1,9539,4,0.007205726510097939,0.005353949964046478,0.003705735318362713,0.008453966118395329
llava_1_5_7b,train,raw_attention,prompt,1,9539,5,0.011677873521123133,0.00934484414756298,0.006633955053985119,0.014875276014208794
llava_1_5_7b,train,raw_attention,prompt,1,9539,6,0.013843786601722708,0.012045521289110184,0.008220036514103413,0.017427033744752407
llava_1_5_7b,train,raw_attention,prompt,1,9539,7,0.023993606771990642,0.018009647727012634,0.01292794942855835,0.02662605047225952
llava_1_5_7b,train,raw_attention,prompt,1,9539,8,0.016201457324465037,0.013089112937450409,0.008898274973034859,0.019445089623332024
llava_1_5_7b,train,raw_attention,prompt,1,9539,9,0.028125835325057708,0.024760713800787926,0.018143024295568466,0.033841680735349655
llava_1_5_7b,train,raw_attention,prompt,1,9539,10,0.023185907052041963,0.01893707737326622,0.012793520465493202,0.027597179636359215
llava_1_5_7b,train,raw_attention,prompt,1,9539,11,0.04185097397021252,0.038490694016218185,0.025942823849618435,0.054969098418951035
