model,signal,label,metric,layer,n_images,mean,std,median,q25,q75
internvl_2_5_8b,attention_distribution,REAL,normalized_entropy,28,3869,0.8003555400314859,0.06392740958036652,0.8050611019134521,0.7616390585899353,0.8464540839195251
internvl_2_5_8b,attention_distribution,REAL,normalized_entropy,29,3869,0.738569900928834,0.06191678880718055,0.7394407987594604,0.6964082717895508,0.7821457982063293
internvl_2_5_8b,attention_distribution,REAL,normalized_entropy,30,3869,0.7773224087949562,0.05033820438382765,0.7793245911598206,0.7446810603141785,0.8116843104362488
internvl_2_5_8b,attention_distribution,REAL,normalized_entropy,31,3869,0.7847497639159388,0.048540448132630955,0.786165177822113,0.7531231641769409,0.8176617622375488
internvl_2_5_8b,attention_distribution,REAL,normalized_entropy,32,3869,0.8348893639683322,0.03917051787344107,0.8368256092071533,0.8091838359832764,0.8620162010192871
internvl_2_5_8b,attention_distribution,REAL,top32_mass,1,3869,0.5493059671488989,0.06130578310675882,0.5489320755004883,0.5087522268295288,0.5892449021339417
internvl_2_5_8b,attention_distribution,REAL,top32_mass,2,3869,0.6519407870218593,0.051702476683066954,0.6524600982666016,0.617570698261261,0.6866207122802734
internvl_2_5_8b,attention_distribution,REAL,top32_mass,3,3869,0.6653116505778892,0.06587920124811156,0.6651895642280579,0.6203786730766296,0.7109130024909973
internvl_2_5_8b,attention_distribution,REAL,top32_mass,4,3869,0.622083979325875,0.06022364786453223,0.6198883652687073,0.580937385559082,0.661598265171051
internvl_2_5_8b,attention_distribution,REAL,top32_mass,5,3869,0.5764321144251405,0.06212764796122737,0.5733075141906738,0.5330840945243835,0.6164701581001282
internvl_2_5_8b,attention_distribution,REAL,top32_mass,6,3869,0.5620504907241131,0.05641855672868356,0.5610936880111694,0.5227126479148865,0.5987955927848816
internvl_2_5_8b,attention_distribution,REAL,top32_mass,7,3869,0.5261387737122701,0.060634426285046596,0.5225768089294434,0.4846344292163849,0.5610529184341431
internvl_2_5_8b,attention_distribution,REAL,top32_mass,8,3869,0.551327083393658,0.06496380199246571,0.5466193556785583,0.5062865614891052,0.5923291444778442
internvl_2_5_8b,attention_distribution,REAL,top32_mass,9,3869,0.4771943103053151,0.05578485445964547,0.4766579270362854,0.43823695182800293,0.5144813060760498
internvl_2_5_8b,attention_distribution,REAL,top32_mass,10,3869,0.565360779670142,0.06948358146469102,0.5668646097183228,0.5214219689369202,0.611102283000946
internvl_2_5_8b,attention_distribution,REAL,top32_mass,11,3869,0.5342595829816406,0.07592088935481238,0.5370872616767883,0.4817773997783661,0.5827404260635376
internvl_2_5_8b,attention_distribution,REAL,top32_mass,12,3869,0.5748073729272651,0.07249501957303095,0.5783149003982544,0.5288196802139282,0.6239446997642517
internvl_2_5_8b,attention_distribution,REAL,top32_mass,13,3869,0.6213805067135586,0.08799532408741026,0.6292473673820496,0.5647764205932617,0.6821209788322449
internvl_2_5_8b,attention_distribution,REAL,top32_mass,14,3869,0.5892287612223261,0.06763775080902393,0.5899672508239746,0.5451799631118774,0.6335247755050659
internvl_2_5_8b,attention_distribution,REAL,top32_mass,15,3869,0.6088829657063369,0.07705702426988806,0.6146894693374634,0.5603231191635132,0.6628867983818054
internvl_2_5_8b,attention_distribution,REAL,top32_mass,16,3869,0.6287547766576906,0.09473329216816867,0.6362273693084717,0.5684381127357483,0.6949319243431091
internvl_2_5_8b,attention_distribution,REAL,top32_mass,17,3869,0.6390495148007646,0.07810895800134221,0.6450627446174622,0.588265597820282,0.6940007209777832
internvl_2_5_8b,attention_distribution,REAL,top32_mass,18,3869,0.6864359656117257,0.07920268063607817,0.6942851543426514,0.6371736526489258,0.7441586256027222
internvl_2_5_8b,attention_distribution,REAL,top32_mass,19,3869,0.6457044249605104,0.06900671399884141,0.6490650773048401,0.6012842059135437,0.6933636665344238
internvl_2_5_8b,attention_distribution,REAL,top32_mass,20,3869,0.6870512901719887,0.07560279875337723,0.6914148330688477,0.6383998394012451,0.7384631037712097
internvl_2_5_8b,attention_distribution,REAL,top32_mass,21,3869,0.6331279765160763,0.07738665195720273,0.636844277381897,0.5828478336334229,0.686408519744873
internvl_2_5_8b,attention_distribution,REAL,top32_mass,22,3869,0.6607856996132132,0.07158900168447116,0.6637396812438965,0.6135194301605225,0.7095565795898438
internvl_2_5_8b,attention_distribution,REAL,top32_mass,23,3869,0.6746283979433148,0.07759283114611035,0.6778053045272827,0.6230061650276184,0.7305148839950562
internvl_2_5_8b,attention_distribution,REAL,top32_mass,24,3869,0.6390413945961072,0.08414336014392311,0.6396081447601318,0.5822246074676514,0.6970670223236084
internvl_2_5_8b,attention_distribution,REAL,top32_mass,25,3869,0.716667951316481,0.08109426540353652,0.7243043780326843,0.665280282497406,0.7761329412460327
internvl_2_5_8b,attention_distribution,REAL,top32_mass,26,3869,0.7271729469545808,0.08164433530424751,0.7360976338386536,0.6737823486328125,0.7868675589561462
