model,scope,signal,layer,real_mean,hall_mean,hall_minus_real,real_median,hall_median,real_count,hall_count
llava_1_5_7b,all,kP,22,0.8207787871360779,0.8964403867721558,0.07566159963607788,0.8536712527275085,0.9040622711181641,11976,3487
llava_1_5_7b,all,kP,23,0.7919700741767883,0.8828012943267822,0.0908312201499939,0.8087875843048096,0.8965978026390076,11976,3487
llava_1_5_7b,all,kP,24,0.8220086097717285,0.8938816785812378,0.07187306880950928,0.855052649974823,0.9018241763114929,11976,3487
llava_1_5_7b,all,kP,25,0.6464190483093262,0.7030545473098755,0.056635499000549316,0.6489614248275757,0.7063462734222412,11976,3487
llava_1_5_7b,all,kP,26,0.8516104221343994,0.8940721154212952,0.04246169328689575,0.8696261644363403,0.8980913162231445,11976,3487
llava_1_5_7b,all,kP,27,0.7004088759422302,0.8015665411949158,0.10115766525268555,0.7128844261169434,0.8112676739692688,11976,3487
llava_1_5_7b,all,kP,28,0.8641951084136963,0.9058016538619995,0.04160654544830322,0.8826280236244202,0.9114289283752441,11976,3487
llava_1_5_7b,all,kP,29,0.7455087304115295,0.8194054365158081,0.07389670610427856,0.7546806335449219,0.8238576650619507,11976,3487
llava_1_5_7b,all,kP,30,0.6741003394126892,0.7588382363319397,0.08473789691925049,0.6776623129844666,0.7673230171203613,11976,3487
llava_1_5_7b,all,kP,31,0.7399769425392151,0.8183981776237488,0.07842123508453369,0.758902907371521,0.8250600695610046,11976,3487
llava_1_5_7b,all,kP,32,0.4572370648384094,0.5062284469604492,0.048991382122039795,0.45179516077041626,0.5023505091667175,11976,3487
llava_1_5_7b,all,kVP,1,0.576667308807373,0.667874813079834,0.09120750427246094,0.5729542970657349,0.6846442222595215,11976,3487
llava_1_5_7b,all,kVP,2,0.4347377121448517,0.4370546340942383,0.0023169219493865967,0.43515917658805847,0.44497576355934143,11976,3487
llava_1_5_7b,all,kVP,3,0.42313656210899353,0.4877893328666687,0.06465277075767517,0.41572022438049316,0.49223756790161133,11976,3487
llava_1_5_7b,all,kVP,4,0.556445300579071,0.6293543577194214,0.07290905714035034,0.5535870790481567,0.631430447101593,11976,3487
llava_1_5_7b,all,kVP,5,0.5604023933410645,0.6435367465019226,0.08313435316085815,0.558373749256134,0.6496255397796631,11976,3487
llava_1_5_7b,all,kVP,6,0.5408753156661987,0.640849769115448,0.09997445344924927,0.5268024206161499,0.6537002325057983,11976,3487
llava_1_5_7b,all,kVP,7,0.4405100345611572,0.5417836308479309,0.10127359628677368,0.4072728157043457,0.5366609692573547,11976,3487
llava_1_5_7b,all,kVP,8,0.5341508984565735,0.6407276391983032,0.10657674074172974,0.5157632827758789,0.6516974568367004,11976,3487
