model,scope,signal,layer,paired_images,hall_minus_real,ci95_low,ci95_high
llava_1_5_7b,test,kP,28,187,0.04366101697087288,0.03801653329282999,0.04942519823089241
llava_1_5_7b,test,kP,29,187,0.07776620239019394,0.06852614656090736,0.0872210059314966
llava_1_5_7b,test,kP,30,187,0.08010794222354889,0.07212868835777045,0.08804116342216729
llava_1_5_7b,test,kP,31,187,0.07941295206546783,0.07054420001804829,0.08818539381027221
llava_1_5_7b,test,kP,32,187,0.03573192283511162,0.024116072896867992,0.0475280568934977
llava_1_5_7b,test,kVP,1,187,0.10065781325101852,0.08874741569161415,0.11262830793857571
llava_1_5_7b,test,kVP,2,187,0.0043315589427948,-0.00500559697393328,0.013739261380396781
llava_1_5_7b,test,kVP,3,187,0.07267121225595474,0.06314374152570963,0.08221439644694327
llava_1_5_7b,test,kVP,4,187,0.07068219780921936,0.0601574576459825,0.08049631398171186
llava_1_5_7b,test,kVP,5,187,0.07987865060567856,0.06775380652397871,0.09110363833606243
llava_1_5_7b,test,kVP,6,187,0.10120397806167603,0.08824515007436276,0.11408313252031803
llava_1_5_7b,test,kVP,7,187,0.10678178817033768,0.0942265884950757,0.12000333648175
llava_1_5_7b,test,kVP,8,187,0.11545813828706741,0.10175644736737013,0.12886181026697158
llava_1_5_7b,test,kVP,9,187,0.09348280727863312,0.08055557683110237,0.1071649281308055
llava_1_5_7b,test,kVP,10,187,0.08939778804779053,0.07882510591298342,0.10034995451569555
llava_1_5_7b,test,kVP,11,187,0.029767446219921112,0.0205077244900167,0.03989740014076232
llava_1_5_7b,test,kVP,12,187,0.01595168747007847,0.006644986872561276,0.0254397748503834
llava_1_5_7b,test,kVP,13,187,0.04506510868668556,0.036139624938368795,0.05439830962568521
llava_1_5_7b,test,kVP,14,187,0.038081906735897064,0.028451114241033793,0.047487307060509916
llava_1_5_7b,test,kVP,15,187,-0.010568329133093357,-0.019757642270997168,-0.0012943569978233474
llava_1_5_7b,test,kVP,16,187,0.017069285735487938,0.010636914963833987,0.02401818693615496
llava_1_5_7b,test,kVP,17,187,-0.04384700581431389,-0.051248510647565124,-0.036122368089854716
llava_1_5_7b,test,kVP,18,187,-0.015991728752851486,-0.02551545761525631,-0.006379806972108787
llava_1_5_7b,test,kVP,19,187,-0.039355311542749405,-0.04905673274770379,-0.028885668748989703
llava_1_5_7b,test,kVP,20,187,-0.0171916875988245,-0.025895079784095287,-0.007945118658244625
llava_1_5_7b,test,kVP,21,187,-0.022712834179401398,-0.029762205295264722,-0.016080924635753037
llava_1_5_7b,test,kVP,22,187,-0.03244760259985924,-0.04196307780221105,-0.022029913496226076
llava_1_5_7b,test,kVP,23,187,-0.007955705747008324,-0.018244384601712228,0.0027334724436513863
llava_1_5_7b,test,kVP,24,187,0.009001294150948524,-0.0011892928334418683,0.019540619198232877
llava_1_5_7b,test,kVP,25,187,-0.006910183932632208,-0.01478530231397599,0.0008427576511166934
llava_1_5_7b,test,kVP,26,187,0.009546278975903988,-0.0019258361950051039,0.021137960627675045
llava_1_5_7b,test,kVP,27,187,-0.01604987494647503,-0.02661007991991937,-0.005222932738251991
llava_1_5_7b,test,kVP,28,187,0.04809224605560303,0.03752915821969509,0.05845759995281696
llava_1_5_7b,test,kVP,29,187,-0.0035433396697044373,-0.01460336330346763,0.007722946477588258
llava_1_5_7b,test,kVP,30,187,0.00041864931699819863,-0.006734905205667019,0.007779370213393122
llava_1_5_7b,test,kVP,31,187,0.054412394762039185,0.043754824064671995,0.06507601700723172
llava_1_5_7b,test,kVP,32,187,0.04501800239086151,0.03637293661013245,0.0536746541969478
qwen3_vl_8b,all,kP,1,1731,0.0008656907011754811,-0.0022328615712467583,0.0041159795015118985
qwen3_vl_8b,all,kP,2,1731,-0.01075940765440464,-0.015451967855915428,-0.006450223398860547
qwen3_vl_8b,all,kP,3,1731,0.013152928091585636,0.009903361881151795,0.01633076430298388
qwen3_vl_8b,all,kP,4,1731,0.01438771840184927,0.011157263582572342,0.01750816269777715
qwen3_vl_8b,all,kP,5,1731,0.004433366935700178,0.0012789806904038414,0.007301764131989329
qwen3_vl_8b,all,kP,6,1731,0.052919358015060425,0.049319548066705465,0.056598292104899875
qwen3_vl_8b,all,kP,7,1731,0.024672357365489006,0.02206684146076441,0.0272750164847821
