model,split,label,layer,n,mean,median,q25,q75
internvl_2_5_8b,train,1,26,7985,0.10451195389032364,0.10764697939157486,0.0691126212477684,0.13939550518989563
internvl_2_5_8b,train,1,27,7985,0.0663556158542633,0.0637398213148117,0.04334372654557228,0.08645637333393097
internvl_2_5_8b,train,1,28,7985,0.03571915999054909,0.03406441956758499,0.024460459128022194,0.0455952063202858
internvl_2_5_8b,train,1,29,7985,0.11317826807498932,0.10895566642284393,0.07396723330020905,0.1488182544708252
internvl_2_5_8b,train,1,30,7985,0.13360340893268585,0.1321505755186081,0.09858639538288116,0.16830089688301086
internvl_2_5_8b,train,1,31,7985,0.1229608803987503,0.12208499759435654,0.08964469283819199,0.15438894927501678
internvl_2_5_8b,train,1,32,7985,0.11143031716346741,0.10700057446956635,0.0787450298666954,0.1400371640920639
internvl_2_5_8b,test,0,1,373,0.0941610038280487,0.08396570384502411,0.06350540369749069,0.11491155624389648
internvl_2_5_8b,test,0,2,373,0.039571888744831085,0.03809981048107147,0.02970014326274395,0.04776451364159584
internvl_2_5_8b,test,0,3,373,0.004587371833622456,0.004231911618262529,0.0032810154370963573,0.005462907254695892
internvl_2_5_8b,test,0,4,373,0.007345985155552626,0.006679545622318983,0.0051621547900140285,0.008470715954899788
internvl_2_5_8b,test,0,5,373,0.02163803204894066,0.01865077205002308,0.013716363348066807,0.02520158141851425
internvl_2_5_8b,test,0,6,373,0.03316226601600647,0.027207838371396065,0.019428858533501625,0.039810992777347565
internvl_2_5_8b,test,0,7,373,0.037960998713970184,0.03204113617539406,0.023132286965847015,0.04448000714182854
internvl_2_5_8b,test,0,8,373,0.07661131769418716,0.0728234350681305,0.04788459464907646,0.09949113428592682
internvl_2_5_8b,test,0,9,373,0.044430673122406006,0.04054531455039978,0.03165224567055702,0.05216898024082184
internvl_2_5_8b,test,0,10,373,0.15000209212303162,0.1440388560295105,0.09876994788646698,0.19644306600093842
