model,family,scale,group,label,layer,n,mean,median,q25,q75
minigpt4_7b,gated,raw,visual_prompt_sum,1,17,9281,0.5095002131596611,0.630992591381073,0.23639290034770966,0.7251415252685547
minigpt4_7b,gated,raw,visual_prompt_sum,1,18,9281,0.5544868111307364,0.6801533102989197,0.2677764892578125,0.77653568983078
minigpt4_7b,gated,raw,visual_prompt_sum,1,19,9281,0.5895140201026747,0.7385320067405701,0.29077836871147156,0.8220052123069763
minigpt4_7b,gated,raw,visual_prompt_sum,1,20,9281,0.5751812621965553,0.6950643062591553,0.3270851671695709,0.7755169868469238
minigpt4_7b,gated,raw,visual_prompt_sum,1,21,9281,0.5430462054523745,0.703159749507904,0.2590482234954834,0.7713561654090881
minigpt4_7b,gated,raw,visual_prompt_sum,1,22,9281,0.5827883370252772,0.7266146540641785,0.2989294230937958,0.8199068307876587
minigpt4_7b,gated,raw,visual_prompt_sum,1,23,9281,0.5787880428481794,0.7529524564743042,0.24834279716014862,0.8712363243103027
minigpt4_7b,gated,raw,visual_prompt_sum,1,24,9281,0.5764723050893444,0.6975998282432556,0.3134708106517792,0.7951667308807373
minigpt4_7b,gated,raw,visual_prompt_sum,1,25,9281,0.5878212879594609,0.7207894325256348,0.30547553300857544,0.8573495149612427
minigpt4_7b,gated,raw,visual_prompt_sum,1,26,9281,0.5478282099986679,0.6662015318870544,0.26165643334388733,0.8319298028945923
minigpt4_7b,gated,raw,visual_prompt_sum,1,27,9281,0.5529168047244306,0.6552137732505798,0.26250842213630676,0.8527452349662781
minigpt4_7b,gated,raw,visual_prompt_sum,1,28,9281,0.5621865664013417,0.6622318625450134,0.2801569700241089,0.8669200539588928
minigpt4_7b,gated,raw,visual_prompt_sum,1,29,9281,0.5500280535144194,0.6319155097007751,0.3033328950405121,0.8081806898117065
minigpt4_7b,gated,raw,visual_prompt_sum,1,30,9281,0.5247774342609439,0.5856809616088867,0.2908802926540375,0.7829306721687317
minigpt4_7b,gated,raw,visual_prompt_sum,1,31,9281,0.5007378712208983,0.5473371744155884,0.2863675653934479,0.7310843467712402
minigpt4_7b,gated,raw,visual_prompt_sum,1,32,9281,0.33943604672135574,0.3449404239654541,0.28251874446868896,0.39307427406311035
shikra_7b,gated,raw,prompt,0,1,3886,0.19803895592513124,0.1811668574810028,0.1537923812866211,0.22540022060275078
shikra_7b,gated,raw,prompt,0,2,3886,0.1671216658887425,0.15582427382469177,0.13300291821360588,0.19393066689372063
shikra_7b,gated,raw,prompt,0,3,3886,0.12026780473410592,0.11057877168059349,0.09114526584744453,0.1428402103483677
shikra_7b,gated,raw,prompt,0,4,3886,0.0696152249713691,0.01078331470489502,0.0074027378577739,0.13326695933938026
shikra_7b,gated,raw,prompt,0,5,3886,0.0670682187160387,0.008627905510365963,0.00577342719770968,0.13067619502544403
shikra_7b,gated,raw,prompt,0,6,3886,0.07517673382055057,0.008562090341001749,0.005760104046203196,0.09720578789710999
shikra_7b,gated,raw,prompt,0,7,3886,0.07441524158488831,0.009992583654820919,0.006495723617263138,0.09411289170384407
shikra_7b,gated,raw,prompt,0,8,3886,0.0822677481058545,0.011609663255512714,0.007782289176248014,0.11096598394215107
shikra_7b,gated,raw,prompt,0,9,3886,0.07710150943082104,0.012215291615575552,0.008420975878834724,0.10856259055435658
shikra_7b,gated,raw,prompt,0,10,3886,0.07312776320545618,0.014468027744442225,0.010067278984934092,0.10690162517130375
shikra_7b,gated,raw,prompt,0,11,3886,0.08076379447558303,0.013566230423748493,0.008436644449830055,0.12605319172143936
shikra_7b,gated,raw,prompt,0,12,3886,0.07538854763087588,0.010973485186696053,0.00708682369440794,0.11810582503676414
shikra_7b,gated,raw,prompt,0,13,3886,0.07215828464824967,0.013137130532413721,0.00795096647925675,0.12265836633741856
shikra_7b,gated,raw,prompt,0,14,3886,0.07385065290415195,0.014992432668805122,0.01022644154727459,0.11672612838447094
shikra_7b,gated,raw,prompt,0,15,3886,0.07567247082836392,0.014049519784748554,0.009051676141098142,0.12384306266903877
shikra_7b,gated,raw,prompt,0,16,3886,0.06692080125441546,0.01232245285063982,0.008434196002781391,0.11117800883948803
shikra_7b,gated,raw,prompt,0,17,3886,0.07564462409303219,0.01467324560508132,0.008807838428765535,0.12871216610074043
shikra_7b,gated,raw,prompt,0,18,3886,0.07068675944372643,0.018170620314776897,0.013252018485218287,0.10421070456504822
shikra_7b,gated,raw,prompt,0,19,3886,0.07202089687180717,0.014450675807893276,0.010376828722655773,0.09110583923757076
shikra_7b,gated,raw,prompt,0,20,3886,0.06763559935757783,0.01672761607915163,0.012184781255200505,0.08300489746034145
shikra_7b,gated,raw,prompt,0,21,3886,0.07158422723114855,0.01619018241763115,0.011671611573547125,0.08752947114408016
shikra_7b,gated,raw,prompt,0,22,3886,0.06834618798377998,0.013453783467411995,0.00971524347551167,0.08716730959713459
shikra_7b,gated,raw,prompt,0,23,3886,0.08535168058590266,0.016084742732346058,0.011484036454930902,0.11094360798597336
shikra_7b,gated,raw,prompt,0,24,3886,0.06439190561245893,0.015550991985946894,0.010258477181196213,0.07889786548912525
shikra_7b,gated,raw,prompt,0,25,3886,0.06859484755694008,0.008443362079560757,0.0053679406410083175,0.09666354209184647
shikra_7b,gated,raw,prompt,0,26,3886,0.08196849227184669,0.01002038735896349,0.006468935054726899,0.12013871967792511
shikra_7b,gated,raw,prompt,0,27,3886,0.07461167360138056,0.011777347419410944,0.007823714753612876,0.0999218113720417
