model,scope,label,layer,n_mentions,mean,median,q25,q75,source
qwen2_5_vl_7b,test,REAL,15,763,0.6815466848769631,0.6746583580970764,0.6131941676139832,0.7407324016094208,e_m
qwen2_5_vl_7b,test,REAL,16,763,0.675577846610843,0.669579803943634,0.6271639168262482,0.7201343476772308,e_m
qwen2_5_vl_7b,test,REAL,17,763,0.7209583924372887,0.7088911533355713,0.6239410638809204,0.8086717426776886,e_m
qwen2_5_vl_7b,test,REAL,18,763,0.7122623072851688,0.70249342918396,0.647901713848114,0.7702842056751251,e_m
qwen2_5_vl_7b,test,REAL,19,763,0.6182379117955699,0.6142258644104004,0.5972356796264648,0.6352790296077728,e_m
qwen2_5_vl_7b,test,REAL,20,763,0.5830650540901199,0.5768970847129822,0.5507396161556244,0.6109046339988708,e_m
qwen2_5_vl_7b,test,REAL,21,763,0.711824851103254,0.708854079246521,0.5842573940753937,0.835106760263443,e_m
qwen2_5_vl_7b,test,REAL,22,763,0.7344130481133142,0.7455683350563049,0.6159226298332214,0.8691476285457611,e_m
qwen2_5_vl_7b,test,REAL,23,763,0.7312904155348107,0.736752450466156,0.6406029462814331,0.823138564825058,e_m
qwen2_5_vl_7b,test,REAL,24,763,0.9263094881571449,0.947563886642456,0.9002483785152435,0.9688242375850677,e_m
qwen2_5_vl_7b,test,REAL,25,763,0.8571183277613839,0.8741856813430786,0.8216404616832733,0.9069629609584808,e_m
qwen2_5_vl_7b,test,REAL,26,763,0.9469341002941757,0.9610034227371216,0.9226624071598053,0.981172651052475,e_m
qwen2_5_vl_7b,test,REAL,27,763,0.7642745313919387,0.7636280655860901,0.7392139434814453,0.7900311350822449,e_m
qwen2_5_vl_7b,test,REAL,28,763,0.7738234072259651,0.7759881019592285,0.6972543597221375,0.8485262393951416,e_m
qwen2_5_vl_7b,test,HALL,1,85,0.7439873313202577,0.7688734531402588,0.6829993724822998,0.8278677463531494,e_m
qwen2_5_vl_7b,test,HALL,2,85,0.5945909160024979,0.6894884705543518,0.3707205057144165,0.7457191348075867,e_m
qwen2_5_vl_7b,test,HALL,3,85,0.5422738068244036,0.5356184840202332,0.5130261182785034,0.5814117789268494,e_m
qwen2_5_vl_7b,test,HALL,4,85,0.4734439905952005,0.4740918278694153,0.43269264698028564,0.5039820671081543,e_m
qwen2_5_vl_7b,test,HALL,5,85,0.6553269456414615,0.6357226967811584,0.5901136994361877,0.7116032242774963,e_m
qwen2_5_vl_7b,test,HALL,6,85,0.7429884195327758,0.7461909651756287,0.6954118013381958,0.8149330019950867,e_m
qwen2_5_vl_7b,test,HALL,7,85,0.6986593274509205,0.6934486031532288,0.6659152507781982,0.7347177863121033,e_m
qwen2_5_vl_7b,test,HALL,8,85,0.8098520342041464,0.8164402842521667,0.7661851644515991,0.8701942563056946,e_m
qwen2_5_vl_7b,test,HALL,9,85,0.7664171523907606,0.7857214212417603,0.71186363697052,0.8300807476043701,e_m
qwen2_5_vl_7b,test,HALL,10,85,0.7678447278106914,0.7765953540802002,0.704278826713562,0.8318570256233215,e_m
qwen2_5_vl_7b,test,HALL,11,85,0.763396746972028,0.7670693397521973,0.7246201038360596,0.8172987699508667,e_m
qwen2_5_vl_7b,test,HALL,12,85,0.9052477675325731,0.9303497672080994,0.8859817981719971,0.9511396884918213,e_m
qwen2_5_vl_7b,test,HALL,13,85,0.789075634058784,0.7979968190193176,0.7239978909492493,0.8579420447349548,e_m
qwen2_5_vl_7b,test,HALL,14,85,0.7527784494792714,0.767477810382843,0.7093226909637451,0.8034369945526123,e_m
qwen2_5_vl_7b,test,HALL,15,85,0.7636546843192157,0.775873601436615,0.7197890877723694,0.8234735727310181,e_m
qwen2_5_vl_7b,test,HALL,16,85,0.7345938068978927,0.7492052316665649,0.6889727115631104,0.7818219065666199,e_m
qwen2_5_vl_7b,test,HALL,17,85,0.855859899520874,0.887766420841217,0.8121042847633362,0.9152020215988159,e_m
qwen2_5_vl_7b,test,HALL,18,85,0.7942347351242515,0.8063704967498779,0.734822154045105,0.8535714745521545,e_m
qwen2_5_vl_7b,test,HALL,19,85,0.639221368116491,0.6271275877952576,0.6113380193710327,0.6580302119255066,e_m
qwen2_5_vl_7b,test,HALL,20,85,0.621180794168921,0.6259995102882385,0.599297821521759,0.6480516195297241,e_m
